event_name,event_id,competition_name,url
East Perth vs Claremont,0673e36b-5e90-45c7-a13a-b5c74e525f05,WAFL,https://www.neds.com.au/sports/australian-rules/afl/east-perth-vs-claremont/0673e36b-5e90-45c7-a13a-b5c74e525f05
Richmond (W) vs Geelong Cats (W),085865a7-f58a-4c15-a79e-c499ddea59ed,AFLW,https://www.neds.com.au/sports/australian-rules/afl/richmond-(w)-vs-geelong-cats-(w)/085865a7-f58a-4c15-a79e-c499ddea59ed
Carlton (W) vs Gold Coast SUNS (W),2f997177-5bd2-4b88-ac3f-db23f008e3ee,AFLW,https://www.neds.com.au/sports/australian-rules/afl/carlton-(w)-vs-gold-coast-suns-(w)/2f997177-5bd2-4b88-ac3f-db23f008e3ee
Geelong Cats vs Hawthorn,5c843d87-386e-4071-8c5d-44f29aaf5b37,AFL,https://www.neds.com.au/sports/australian-rules/afl/geelong-cats-vs-hawthorn/5c843d87-386e-4071-8c5d-44f29aaf5b37
Fremantle (W) vs West Coast Eagles (W),6c8a6e29-39cd-425b-a83f-6695c435eeba,AFLW,https://www.neds.com.au/sports/australian-rules/afl/fremantle-(w)-vs-west-coast-eagles-(w)/6c8a6e29-39cd-425b-a83f-6695c435eeba
GWS GIANTS (W) vs Western Bulldogs (W),75e29303-fc3b-4738-9074-60a7c0fff1d7,AFLW,https://www.neds.com.au/sports/australian-rules/afl/gws-giants-(w)-vs-western-bulldogs-(w)/75e29303-fc3b-4738-9074-60a7c0fff1d7
Brisbane Lions (W) vs North Melbourne (W),85e1ba7a-09f6-4a56-a400-6a5c5c78ba0a,AFLW,https://www.neds.com.au/sports/australian-rules/afl/brisbane-lions-(w)-vs-north-melbourne-(w)/85e1ba7a-09f6-4a56-a400-6a5c5c78ba0a
Brisbane Lions vs Gold Coast Suns,929c3033-0cf2-4461-840f-c813bc30f6ab,AFL,https://www.neds.com.au/sports/australian-rules/afl/brisbane-lions-vs-gold-coast-suns/929c3033-0cf2-4461-840f-c813bc30f6ab
Hawthorn (W) vs Adelaide Crows (W),a0319cb1-b780-48ba-8004-5620ee5900f0,AFLW,https://www.neds.com.au/sports/australian-rules/afl/hawthorn-(w)-vs-adelaide-crows-(w)/a0319cb1-b780-48ba-8004-5620ee5900f0
Port Adelaide (W) vs Melbourne (W),b8df0a77-fa77-4317-9f67-bf6618b4082b,AFLW,https://www.neds.com.au/sports/australian-rules/afl/port-adelaide-(w)-vs-melbourne-(w)/b8df0a77-fa77-4317-9f67-bf6618b4082b
Essendon (W) vs St Kilda (W),c9d7a4ad-1132-42cf-839d-501e85265803,AFLW,https://www.neds.com.au/sports/australian-rules/afl/essendon-(w)-vs-st-kilda-(w)/c9d7a4ad-1132-42cf-839d-501e85265803
