player_name,line,emp_prob_last_3,emp_prob_last_5,emp_prob_last_7,emp_prob_last_10
Archie Roberts,14.5,1,1,0.8571428571428571,0.9
Archie Roberts,19.5,0.6666666666666666,0.8,0.7142857142857143,0.8
Archie Roberts,24.5,0.6666666666666666,0.6,0.5714285714285714,0.6
Archie Roberts,29.5,0.33333333333333337,0.2,0.14285714285714288,0.2
Archie Roberts,34.5,0,0,0,0
Arie Schoenmaker,9.5,1,1,1,NA
Arie Schoenmaker,14.5,0.6666666666666666,0.4,0.5714285714285714,NA
Arie Schoenmaker,19.5,0,0,0,NA
Arie Schoenmaker,24.5,0,0,0,NA
Arie Schoenmaker,29.5,0,0,0,NA
Arie Schoenmaker,34.5,0,0,0,NA
Arie Schoenmaker,39.5,0,0,0,NA
Ashton Moir,9.5,0.33333333333333337,0.2,0.14285714285714288,NA
Ashton Moir,14.5,0,0,0,NA
Ashton Moir,19.5,0,0,0,NA
Bailey Banfield,9.5,0.6666666666666666,0.8,0.8571428571428571,0.8
Bailey Banfield,14.5,0.6666666666666666,0.6,0.42857142857142855,0.4
Bailey Banfield,19.5,0.33333333333333337,0.2,0.14285714285714288,0.10000000000000002
Bailey Banfield,24.5,0,0,0,0
Bailey Dale,14.5,1,0.8,0.8571428571428571,0.9
Bailey Dale,16.5,1,0.8,0.8571428571428571,0.9
Bailey Dale,17.5,1,0.8,0.8571428571428571,0.9
Bailey Dale,18.5,1,0.8,0.8571428571428571,0.9
Bailey Dale,19.5,1,0.8,0.8571428571428571,0.9
Bailey Dale,20.5,0.6666666666666666,0.6,0.7142857142857143,0.8
Bailey Dale,21.5,0.33333333333333337,0.4,0.5714285714285714,0.7
Bailey Dale,22.5,0.33333333333333337,0.4,0.5714285714285714,0.6
Bailey Dale,23.5,0.33333333333333337,0.4,0.42857142857142855,0.5
Bailey Dale,24.5,0.33333333333333337,0.4,0.42857142857142855,0.5
Bailey Dale,25.5,0.33333333333333337,0.2,0.2857142857142857,0.4
Bailey Dale,26.5,0.33333333333333337,0.2,0.2857142857142857,0.4
Bailey Dale,27.5,0.33333333333333337,0.2,0.2857142857142857,0.4
Bailey Dale,28.5,0.33333333333333337,0.2,0.2857142857142857,0.4
Bailey Dale,29.5,0.33333333333333337,0.2,0.2857142857142857,0.4
Bailey Dale,30.5,0.33333333333333337,0.2,0.2857142857142857,0.3
Bailey Dale,31.5,0.33333333333333337,0.2,0.2857142857142857,0.3
Bailey Dale,32.5,0.33333333333333337,0.2,0.2857142857142857,0.3
Bailey Dale,33.5,0,0,0.14285714285714288,0.20000000000000004
Bailey Dale,34.5,0,0,0.14285714285714288,0.20000000000000004
Bailey Dale,35.5,0,0,0.14285714285714288,0.20000000000000004
Bailey Dale,36.5,0,0,0,0.10000000000000002
Bailey Dale,37.5,0,0,0,0.10000000000000002
Bailey Dale,38.5,0,0,0,0.10000000000000002
Bailey Dale,39.5,0,0,0,0.10000000000000002
Bailey Humphrey,9.5,1,1,1,1
Bailey Humphrey,14.5,0.33333333333333337,0.4,0.42857142857142855,0.4
Bailey Humphrey,19.5,0,0,0.14285714285714288,0.1
Bailey Humphrey,24.5,0,0,0,0
Bailey J. Williams,9.5,0.6666666666666666,0.4,0.5714285714285714,0.5
Bailey J. Williams,14.5,0,0,0,0
Bailey J. Williams,19.5,0,0,0,0
Bailey Macdonald,9.5,0,0,0.14285714285714288,NA
Bailey Macdonald,14.5,0,0,0.14285714285714288,NA
Bailey Macdonald,19.5,0,0,0,NA
Bailey Smith,19.5,1,1,1,1
Bailey Smith,24.5,0.6666666666666666,0.8,0.8571428571428571,0.9
Bailey Smith,29.5,0.33333333333333337,0.4,0.5714285714285714,0.7
Bailey Smith,34.5,0.33333333333333337,0.4,0.42857142857142855,0.4
Bailey Smith,39.5,0.33333333333333337,0.4,0.2857142857142857,0.2
Bailey Williams,9.5,1,1,1,1
Bailey Williams,11.5,1,1,1,1
Bailey Williams,12.5,1,1,1,0.9
Bailey Williams,13.5,1,1,1,0.9
Bailey Williams,14.5,1,1,1,0.9
Bailey Williams,15.5,0.6666666666666666,0.8,0.8571428571428571,0.8
