match,round,home_team,away_team,start_time,venue
Melbourne Demons v Essendon Bombers,Round 14,Melbourne Demons,Essendon Bombers,2026-06-13T03:15:00Z,MCG
North Melbourne Kangaroos v West Coast Eagles,Round 14,North Melbourne Kangaroos,West Coast Eagles,2026-06-13T06:15:00Z,Optus Stadium
Port Adelaide Power v Sydney Swans,Round 14,Port Adelaide Power,Sydney Swans,2026-06-13T09:35:00Z,Adelaide Oval
Richmond Tigers v Brisbane Lions,Round 14,Richmond Tigers,Brisbane Lions,2026-06-14T03:10:00Z,Ninja Stadium
St Kilda Saints v GWS Giants,Round 14,St Kilda Saints,GWS Giants,2026-06-14T05:15:00Z,Marvel Stadium
Fremantle Dockers v Geelong Cats,Round 15,Fremantle Dockers,Geelong Cats,2026-06-18T10:10:00Z,Optus Stadium
Gold Coast Suns v Hawthorn Hawks,Round 15,Gold Coast Suns,Hawthorn Hawks,2026-06-19T09:40:00Z,People First Stadium
Adelaide Crows v Melbourne Demons,Round 15,Adelaide Crows,Melbourne Demons,2026-06-20T03:15:00Z,Adelaide Oval
GWS Giants v Carlton,Round 15,GWS Giants,Carlton,2026-06-20T06:15:00Z,ENGIE Stadium
Collingwood Magpies v Port Adelaide Power,Round 15,Collingwood Magpies,Port Adelaide Power,2026-06-20T09:35:00Z,MCG
Richmond Tigers v North Melbourne Kangaroos,Round 15,Richmond Tigers,North Melbourne Kangaroos,2026-06-21T03:10:00Z,MCG
St Kilda Saints v Western Bulldogs,Round 15,St Kilda Saints,Western Bulldogs,2026-06-21T05:15:00Z,Marvel Stadium
Brisbane Lions v Sydney Swans,Round 16,Brisbane Lions,Sydney Swans,2026-06-25T09:30:00Z,Gabba
Hawthorn Hawks v GWS Giants,Round 16,Hawthorn Hawks,GWS Giants,2026-06-26T09:40:00Z,MCG
Carlton v West Coast Eagles,Round 16,Carlton,West Coast Eagles,2026-06-27T03:15:00Z,Marvel Stadium
Collingwood Magpies v Richmond Tigers,Round 16,Collingwood Magpies,Richmond Tigers,2026-06-27T06:15:00Z,MCG
Port Adelaide Power v Adelaide Crows,Round 16,Port Adelaide Power,Adelaide Crows,2026-06-27T09:35:00Z,Adelaide Oval
North Melbourne Kangaroos v Essendon Bombers,Round 16,North Melbourne Kangaroos,Essendon Bombers,2026-06-28T05:15:00Z,Marvel Stadium
Fremantle Dockers v Gold Coast Suns,Round 16,Fremantle Dockers,Gold Coast Suns,2026-06-28T07:10:00Z,Optus Stadium
Geelong Cats v Brisbane Lions,Round 17,Geelong Cats,Brisbane Lions,2026-07-02T09:30:00Z,GMHBA Stadium
Sydney Swans v Western Bulldogs,Round 17,Sydney Swans,Western Bulldogs,2026-07-03T09:40:00Z,SCG
West Coast Eagles v Adelaide Crows,Round 17,West Coast Eagles,Adelaide Crows,2026-07-03T10:10:00Z,Optus Stadium
Hawthorn Hawks v Melbourne Demons,Round 17,Hawthorn Hawks,Melbourne Demons,2026-07-04T03:15:00Z,UTAS Stadium
GWS Giants v Fremantle Dockers,Round 17,GWS Giants,Fremantle Dockers,2026-07-04T03:35:00Z,Corroboree Group Oval Manuka
Gold Coast Suns v Collingwood Magpies,Round 17,Gold Coast Suns,Collingwood Magpies,2026-07-04T06:15:00Z,People First Stadium
Richmond Tigers v Carlton,Round 17,Richmond Tigers,Carlton,2026-07-04T09:35:00Z,MCG
Essendon Bombers v St Kilda Saints,Round 17,Essendon Bombers,St Kilda Saints,2026-07-05T05:15:00Z,Marvel Stadium
Port Adelaide Power v North Melbourne Kangaroos,Round 17,Port Adelaide Power,North Melbourne Kangaroos,2026-07-05T06:40:00Z,Adelaide Oval
Fremantle Dockers v Sydney Swans,Round 18,Fremantle Dockers,Sydney Swans,2026-07-09T10:10:00Z,Optus Stadium
Collingwood Magpies v North Melbourne Kangaroos,Round 18,Collingwood Magpies,North Melbourne Kangaroos,2026-07-10T09:40:00Z,Marvel Stadium
St Kilda Saints v Port Adelaide Power,Round 18,St Kilda Saints,Port Adelaide Power,2026-07-11T03:15:00Z,Marvel Stadium
GWS Giants v Geelong Cats,Round 18,GWS Giants,Geelong Cats,2026-07-11T06:15:00Z,ENGIE Stadium
Carlton v Hawthorn Hawks,Round 18,Carlton,Hawthorn Hawks,2026-07-11T09:35:00Z,MCG
