player_name,stat,median_diff,games_win,games_loss
Matthew Jefferson,disposals,3,8,11
Maurice Rioli,disposals,3,3,19
Mitch Georgiades,disposals,3,15,26
Nasiah Wanganeen-Milera,disposals,3,17,21
Nathan O'Driscoll,disposals,3,19,7
Oscar Adams,disposals,3,11,10
Rhett Bazzo,disposals,3,2,15
Riley Hamilton,disposals,3,2,2
Sam Durham,disposals,3,8,30
Sam Walsh,disposals,3,16,17
Shannon Neale,disposals,3,29,15
Shaun Mannagh,disposals,3,29,13
Tim English,disposals,3,24,12
Toby Nankervis,disposals,3,5,25
Tom Blamires,disposals,3,7,7
Tom Gross,disposals,3,1,8
Bailey Humphrey,disposals,2.5,22,17
Bailey Smith,disposals,2.5,28,13
Bailey Williams,disposals,2.5,22,14
Charlie Spargo,disposals,2.5,10,15
Cooper Duff-Tytler,disposals,2.5,2,10
Dougal Howard,disposals,2.5,4,5
Esava Ratugolea,disposals,2.5,8,13
Finn Callaghan,disposals,2.5,22,18
Harry Dean,disposals,2.5,8,8
Jack Scrimshaw,disposals,2.5,13,8
Jade Gresham,disposals,2.5,6,20
Jake Melksham,disposals,2.5,10,15
Jake Rogers,disposals,2.5,10,4
Jayden Hunt,disposals,2.5,1,14
Josh Treacy,disposals,2.5,33,10
Jye Caldwell,disposals,2.5,5,20
Lachie Jaques,disposals,2.5,6,2
Mason Wood,disposals,2.5,16,23
Mattaes Phillipou,disposals,2.5,11,14
Mitch Knevitt,disposals,2.5,5,4
Tom Atkins,disposals,2.5,30,15
Tom Burton,disposals,2.5,2,3
Tom Papley,disposals,2.5,16,9
Will Day,disposals,2.5,10,3
Willie Rioli,disposals,2.5,9,10
Aaron Naughton,disposals,2,26,16
Ben Ainsworth,disposals,2,24,19
Ben Keays,disposals,2,30,14
Ben King,disposals,2,23,21
Bodie Ryan,disposals,2,1,4
Brent Daniels,disposals,2,9,7
Brodie Kemp,disposals,2,10,14
Brody Mihocek,disposals,2,21,11
Caleb Windsor,disposals,2,17,16
Callum Ah Chee,disposals,2,20,9
Callum Brown,disposals,2,21,15
Chad Warner,disposals,2,26,16
Changkuoth Jiath,disposals,2,20,11
Charlie Dean,disposals,2,2,2
Colby McKercher,disposals,2,13,28
Corey Wagner,disposals,2,23,7
Dane Rampe,disposals,2,19,14
Daniel Curtin,disposals,2,27,10
Dylan Shiel,disposals,2,4,10
Ethan Read,disposals,2,20,12
Finn O'Sullivan,disposals,2,11,25
Gryan Miers,disposals,2,25,10
Harris Andrews,disposals,2,30,12
Hunter Clark,disposals,2,8,10
Isaiah Dudley,disposals,2,28,7
Izak Rankine,disposals,2,26,12
Jack Darling,disposals,2,12,27
Jack Martin,disposals,2,18,10
Jack Silvagni,disposals,2,15,17
Jackson Mead,disposals,2,11,18
Jaeger O'Meara,disposals,2,14,6
Jayden Laverde,disposals,2,8,23
Jobe Shanahan,disposals,2,4,24
Kade Chandler,disposals,2,19,23
Keidean Coleman,disposals,2,6,7
Lachie Schultz,disposals,2,17,15
Marcus Bontempelli,disposals,2,24,13
Matt Rowell,disposals,2,18,21
Matthew Cottrell,disposals,2,7,7
Matthew Kennedy,disposals,2,26,16
Max Gawn,disposals,2,19,23
Max Holmes,disposals,2,29,15
Nick Blakey,disposals,2,26,16
Nick Watson,disposals,2,28,13
Patrick Dangerfield,disposals,2,25,13
Patrick Lipinski,disposals,2,27,13
Patrick Voss,disposals,2,31,7
Sam Banks,disposals,2,5,31
Sam Berry,disposals,2,27,11
Sam Butler,disposals,2,10,3
Sam Docherty,disposals,2,4,11
Sam Lalor,disposals,2,3,17
Sam Marshall,disposals,2,7,6
Seth Campbell,disposals,2,7,34
Tobie Travaglia,disposals,2,8,8
Toby Greene,disposals,2,23,17
Toby Pink,disposals,2,8,13
Todd Goldstein,disposals,2,3,13
Ty Gallop,disposals,2,16,7
Will Setterfield,disposals,2,5,15
Xavier O'Halloran,disposals,2,19,15
Zac Banch,disposals,2,1,7
Zac Taylor,disposals,2,23,11
Alex Cincotta,disposals,1.5,2,3
Archer Reid,disposals,1.5,2,18
Arthur Jones,disposals,1.5,12,6
Ben Long,disposals,1.5,22,19
Caleb Serong,disposals,1.5,30,10
Charlie Curnow,disposals,1.5,20,16
Flynn Young,disposals,1.5,6,5
George Hewett,disposals,1.5,18,20
Harvey Langford,disposals,1.5,19,22
Hugh Bond,disposals,1.5,8,4
Jack Crisp,disposals,1.5,28,15
Jack Steele,disposals,1.5,20,21
Jake Riccardi,disposals,1.5,18,11
Jase Burgoyne,disposals,1.5,14,25
Jeremy Howe,disposals,1.5,24,10
Josh Dunkley,disposals,1.5,32,13
Josh Lai,disposals,1.5,5,10
Judd McVee,disposals,1.5,22,13
Kai Lohmann,disposals,1.5,26,10
Kane Farrell,disposals,1.5,12,22
Luke Cleary,disposals,1.5,12,6
Marcus Windhager,disposals,1.5,18,24
Massimo D'Ambrosio,disposals,1.5,30,14
Max Michalanney,disposals,1.5,26,14
Mitch Lewis,disposals,1.5,18,8
Nate Caddy,disposals,1.5,8,27
Nick Larkey,disposals,1.5,12,23
Nick Murray,disposals,1.5,15,8
Tom McDonald,disposals,1.5,9,14
Wayne Milera,disposals,1.5,28,13
Zac Bailey,disposals,1.5,31,12
Aidan Johnson,disposals,1,3,3
Archie Perkins,disposals,1,5,29
Archie Roberts,disposals,1,8,32
Bobby Hill,disposals,1,11,3
Brady Hough,disposals,1,5,36
Brodie Grundy,disposals,1,25,15
Christian Salem,disposals,1,10,18
Conor Nash,disposals,1,21,10
Cooper Sharman,disposals,1,16,23
Daniel McStay,disposals,1,23,13
Daniel Turner,disposals,1,16,19
Dante Visentini,disposals,1,6,13
Darcy Moore,disposals,1,16,9
Darcy Wilson,disposals,1,14,22
Edward Allan,disposals,1,19,8
Harry O'Farrell,disposals,1,1,5
Harry Sharp,disposals,1,18,19
Harry Sheezel,disposals,1,13,28
