player_name,stat,median_diff,games_win,games_loss
James Tunstill,fantasy_points,-19.5,10,4
Oliver Hayes-Brown,fantasy_points,-19.5,2,5
Sullivan Robey,fantasy_points,-19.5,2,13
Harry Kyle,fantasy_points,-20,5,1
Jack Buckley,fantasy_points,-20,18,10
Ted Clohesy,fantasy_points,-20.5,6,3
Joe Fonti,fantasy_points,-21.5,19,16
Matt Whitlock,fantasy_points,-22,1,4
Sam Day,fantasy_points,-22,10,3
Aaron Francis,fantasy_points,-23,5,5
Matthew Owies,fantasy_points,-27,1,18
Jacob Blight,fantasy_points,-28.5,1,6
Mitch Zadow,fantasy_points,-33,3,2
Lachlan Murphy,fantasy_points,-34,3,2
Xavier Bamert,fantasy_points,-34,2,5
Will Lorenz,fantasy_points,-50,1,6
Beau Addinsall,fantasy_points,NA,0,6
Ben Paton,fantasy_points,NA,0,4
Billy Cootee,fantasy_points,NA,5,0
Brynn Teakle,fantasy_points,NA,0,4
Christopher Scerri,fantasy_points,NA,7,0
Clay Hall,fantasy_points,NA,0,13
Dylan Patterson,fantasy_points,NA,0,4
Jack Henderson,fantasy_points,NA,0,5
Jai Murray,fantasy_points,NA,0,8
Jayden Nguyen,fantasy_points,NA,0,10
Jeremy McGovern,fantasy_points,NA,0,6
Jordan Boyd,fantasy_points,NA,0,5
Kaleb Smith,fantasy_points,NA,0,8
Kye Annand,fantasy_points,NA,0,7
Liam Fawcett,fantasy_points,NA,0,8
Liam McMahon,fantasy_points,NA,0,7
Liam Puncher,fantasy_points,NA,4,0
Liam Reidy,fantasy_points,NA,0,5
Louis Emmett,fantasy_points,NA,0,5
Luamon Lual,fantasy_points,NA,0,12
Marcus Herbert,fantasy_points,NA,0,6
Nik Cox,fantasy_points,NA,0,8
Noah Long,fantasy_points,NA,0,10
Oliver Francou,fantasy_points,NA,0,4
Oskar Smartt,fantasy_points,NA,0,4
Sam Swadling,fantasy_points,NA,5,0
Seamus Mitchell,fantasy_points,NA,4,0
Tyrell Dewar,fantasy_points,NA,0,16
Zak Johnson,fantasy_points,NA,0,14
Bailey J. Williams,goals,2,3,28
Ben King,goals,2,23,21
Cooper Trembath,goals,2,9,13
Harley Reid,goals,2,5,33
Jake Stringer,goals,2,17,17
Jeremy Cameron,goals,2,28,14
Marcus Bontempelli,goals,2,24,13
Michael Frederick,goals,2,29,9
Milan Murdock,goals,2,3,13
Seth Campbell,goals,2,7,34
Angus Clarke,goals,1.5,2,15
Ben Keays,goals,1.5,30,14
Flynn Young,goals,1.5,6,5
Joel Amartey,goals,1.5,17,6
Tyson Stengle,goals,1.5,18,6
Aaron Cadman,goals,1,23,15
Aaron Naughton,goals,1,26,16
Adam Treloar,goals,1,6,3
Alex Neal-Bullen,goals,1,30,13
Archer Day-Wicks,goals,1,3,19
Archer May,goals,1,1,16
Archer Reid,goals,1,2,18
Archie Perkins,goals,1,5,29
Ashton Moir,goals,1,3,8
Bayley Fritsch,goals,1,16,23
Ben Long,goals,1,22,19
Brayden Fiorini,goals,1,11,10
Brent Daniels,goals,1,9,7
Brody Mihocek,goals,1,21,11
Callan Ward,goals,1,7,5
Callum Brown,goals,1,21,15
Calsher Dear,goals,1,8,5
Charlie Curnow,goals,1,20,16
Connor Rozee,goals,1,10,13
Cooper Duff-Tytler,goals,1,2,10
Cooper Sharman,goals,1,16,23
Daniel McStay,goals,1,23,13
Dyson Sharp,goals,1,1,10
Ed Richards,goals,1,25,16
Elijah Hewett,goals,1,1,25
Errol Gulden,goals,1,11,6
Francis Evans,goals,1,12,15
George Hewett,goals,1,18,20
Harry McKay,goals,1,13,16
Harry Sharp,goals,1,18,19
Harvey Johnston,goals,1,2,5
Hugh McCluggage,goals,1,26,12
Hugo Ralphsmith,goals,1,2,19
Jack Bowes,goals,1,19,11
Jack Graham,goals,1,3,24
Jack Hutchinson,goals,1,2,20
Jack Viney,goals,1,5,13
Jacob Farrow,goals,1,2,15
Jacob Konstanty,goals,1,10,22
Jacob van Rooyen,goals,1,14,21
Jake Melksham,goals,1,10,15
Jake Waterman,goals,1,5,22
Jamie Elliott,goals,1,22,13
Jayden Hunt,goals,1,1,14
Jayden Short,goals,1,7,26
Jesse Hogan,goals,1,12,13
Joe Richards,goals,1,14,26
Jonty Faull,goals,1,6,20
Jordan De Goey,goals,1,16,12
Josh Rachele,goals,1,22,11
Jy Simpkin,goals,1,13,26
Jye Amiss,goals,1,33,10
Kade Chandler,goals,1,19,23
Kai Lohmann,goals,1,26,10
Lachlan McNeil,goals,1,20,11
Lance Collard,goals,1,6,6
Liam Ryan,goals,1,8,26
Luke Breust,goals,1,5,3
Luke Pedlar,goals,1,12,7
Malcolm Rosas,goals,1,15,4
Mason Redman,goals,1,7,24
Mason Wood,goals,1,16,23
Matt Flynn,goals,1,3,19
Matt Guelfi,goals,1,1,14
Matthew Jefferson,goals,1,8,11
Max Gawn,goals,1,19,23
Max Gruzewski,goals,1,11,7
Mitch Georgiades,goals,1,15,26
Nic Martin,goals,1,6,10
Nick Watson,goals,1,28,13
Oliver Henry,goals,1,19,14
Ollie Lord,goals,1,5,11
Oscar Allen,goals,1,5,15
Oscar Steene,goals,1,3,4
Paddy Cross,goals,1,5,5
Patrick Voss,goals,1,31,7
Riley Hamilton,goals,1,2,2
Riley Thilthorpe,goals,1,27,14
Sam Darcy,goals,1,15,8
Sam Davidson,goals,1,17,14
Talor Byrne,goals,1,7,7
Thomas Sims,goals,1,3,8
Tim Membrey,goals,1,26,12
Tim Taranto,goals,1,6,33
Toby Greene,goals,1,23,17
Toby Murray,goals,1,9,3
Toby Nankervis,goals,1,5,25
Tom Cochrane,goals,1,3,3
Tom Green,goals,1,15,8
Tom Lynch,goals,1,5,22
Touk Miller,goals,1,22,20
Will Graham,goals,1,13,7
Will Hoskin-Elliott,goals,1,12,6
Will Lewis,goals,1,6,6
Will White,goals,1,7,7
William McCabe,goals,1,3,1
Willie Rioli,goals,1,9,10
Zac Bailey,goals,1,31,12
Zac Williams,goals,1,10,18
Zane Duursma,goals,1,9,15
Alex Cincotta,goals,0.5,2,3
Caleb Poulter,goals,0.5,4,3
Chad Warner,goals,0.5,26,16
Dan Butler,goals,0.5,6,8
Darcy Byrne-Jones,goals,0.5,14,27
Darcy Fogarty,goals,0.5,26,10
Dylan Moore,goals,0.5,29,14
Dylan Shiel,goals,0.5,4,10
Elijah Tsatas,goals,0.5,2,9
Elliot Yeo,goals,0.5,4,13
Ethan Read,goals,0.5,20,12
Hayden Young,goals,0.5,14,5
Jack Martin,goals,0.5,18,10
Jacob Bauer,goals,0.5,1,4
Jake Rogers,goals,0.5,10,4
Jaxon Binns,goals,0.5,2,3
Jeremy Finlayson,goals,0.5,2,6
Justin McInerney,goals,0.5,20,10
Jye Menzie,goals,0.5,4,6
Kane McAuliffe,goals,0.5,2,12
Leonardo Lombard,goals,0.5,8,15
Logan McDonald,goals,0.5,13,4
Logan Morris,goals,0.5,31,12
Luke Kennedy,goals,0.5,2,2
Mabior Chol,goals,0.5,26,12
Matt Whitlock,goals,0.5,1,4
Miles Bergman,goals,0.5,12,19
Patrick Cripps,goals,0.5,18,24
Rhyan Mansell,goals,0.5,4,22
Sam Docherty,goals,0.5,4,11
Sullivan Robey,goals,0.5,2,13
Taj Hotton,goals,0.5,2,11
Toby Bedford,goals,0.5,22,16
Todd Marshall,goals,0.5,2,9
Tom De Koning,goals,0.5,16,22
Tristan Xerri,goals,0.5,10,24
William Hayes,goals,0.5,5,2
Aaron Francis,goals,0,5,5
Adam Cerra,goals,0,15,20
Adam Saad,goals,0,9,15
Aidan Corr,goals,0,7,14
Alex Davies,goals,0,10,4
Alex Pearce,goals,0,23,10
Alex Sexton,goals,0,3,2
Aliir Aliir,goals,0,15,26
Alix Tauru,goals,0,3,5
Alixzander Tauru,goals,0,4,6
Andrew McGrath,goals,0,8,31
Angus Anderson,goals,0,6,5
Angus Hastie,goals,0,7,7
Angus Sheldrick,goals,0,24,13
Anthony Caminiti,goals,0,17,22
Archie Roberts,goals,0,8,32
Bailey Banfield,goals,0,15,6
Bailey Dale,goals,0,24,16
Bailey Humphrey,goals,0,22,17
Bailey Macdonald,goals,0,12,3
Bailey Scott,goals,0,3,10
Bailey Smith,goals,0,28,13
Bailey Williams,goals,0,22,14
Beau McCreery,goals,0,25,12
Ben Ainsworth,goals,0,24,19
Ben Hobbs,goals,0,6,12
Ben Jepson,goals,0,1,4
Ben McKay,goals,0,7,18
Ben Miller,goals,0,7,33
Billy Frampton,goals,0,23,11
Billy Wilson,goals,0,10,5
Blake Acres,goals,0,12,13
Blake Hardwick,goals,0,30,14
Blake Howes,goals,0,14,17
Bo Allan,goals,0,3,19
Bobby Hill,goals,0,11,3
Bodhi Uwland,goals,0,23,21
Bodie Ryan,goals,0,1,4
Brad Close,goals,0,27,11
Bradley Hill,goals,0,18,23
Brady Hough,goals,0,5,36
Braeden Campbell,goals,0,13,12
Brandon Starcevich,goals,0,11,10
Brandon Zerk-Thatcher,goals,0,7,10
Brayden Cook,goals,0,15,6
Brayden Maynard,goals,0,21,15
Brennan Cox,goals,0,30,9
Brodie Grundy,goals,0,25,15
Brodie Kemp,goals,0,10,14
Brodie Smith,goals,0,8,3
Bruce Reville,goals,0,23,7
Buku Khamis,goals,0,20,13
Caiden Cleary,goals,0,9,11
Caleb Daniel,goals,0,13,28
Caleb Serong,goals,0,30,10
Caleb Windsor,goals,0,17,16
Callum Ah Chee,goals,0,20,9
Callum Coleman-Jones,goals,0,4,2
Callum Mills,goals,0,21,9
Callum Wilkie,goals,0,18,24
Cam Mackenzie,goals,0,19,9
Cam Rayner,goals,0,32,13
Cameron Nairn,goals,0,3,1
Cameron Zurhaar,goals,0,13,27
Campbell Chesser,goals,0,1,6
Campbell Gray,goals,0,1,11
Changkuoth Jiath,goals,0,20,11
Charlie Ballard,goals,0,3,5
Charlie Cameron,goals,0,30,13
Charlie Comben,goals,0,13,24
Charlie Dean,goals,0,2,2
Charlie Spargo,goals,0,10,15
Chayce Jones,goals,0,5,3
Christian Moraes,goals,0,8,15
Christian Petracca,goals,0,14,26
Christian Salem,goals,0,10,18
Clayton Oliver,goals,0,14,27
Cody Angove,goals,0,3,1
Colby McKercher,goals,0,13,28
Connor Budarick,goals,0,21,11
Connor Idun,goals,0,24,19
Connor Macdonald,goals,0,29,13
Connor O'Sullivan,goals,0,29,15
Conor McKenna,goals,0,13,5
Conor Nash,goals,0,21,10
Conor Stone,goals,0,7,8
Cooper Lord,goals,0,10,16
Corey Durdin,goals,0,14,21
Corey Wagner,goals,0,23,7
Dan Houston,goals,0,26,13
Dane Rampe,goals,0,19,14
Daniel Curtin,goals,0,27,10
Daniel Rioli,goals,0,20,16
Daniel Turner,goals,0,16,19
Dante Visentini,goals,0,6,13
Darcy Cameron,goals,0,28,14
Darcy Fort,goals,0,27,11
Darcy Gardiner,goals,0,18,8
Darcy Jones,goals,0,15,8
Darcy Moore,goals,0,16,9
Darcy Parish,goals,0,1,16
Darcy Tucker,goals,0,1,6
Darcy Wilmot,goals,0,32,13
Darcy Wilson,goals,0,14,22
David Swallow,goals,0,4,5
Dayne Zorko,goals,0,27,9
Deven Robertson,goals,0,4,4
Dion Prestia,goals,0,3,23
Dougal Howard,goals,0,4,5
Dylan Stephens,goals,0,13,27
Ed Langdon,goals,0,19,23
Edward Allan,goals,0,19,8
Eric Hipwood,goals,0,21,6
Esava Ratugolea,goals,0,8,13
Ewan Mackinlay,goals,0,5,10
Finn Callaghan,goals,0,22,18
Finn Maginness,goals,0,10,7
Finn O'Sullivan,goals,0,11,25
Finnbar Maley,goals,0,3,9
Flynn Perez,goals,0,5,2
George Stevens,goals,0,2,2
George Wardlaw,goals,0,11,14
Griffin Logue,goals,0,7,21
Gryan Miers,goals,0,25,10
Hamish Davis,goals,0,4,23
Harris Andrews,goals,0,30,12
Harrison Jones,goals,0,4,7
Harrison Petty,goals,0,15,19
Harry Cunningham,goals,0,17,6
Harry Dean,goals,0,8,8
Harry Edwards,goals,0,2,17
Harry Himmelberg,goals,0,24,19
Harry Kyle,goals,0,5,1
Harry Morrison,goals,0,19,10
Harry O'Farrell,goals,0,1,5
Harry Perryman,goals,0,27,12
Harry Schoenberg,goals,0,2,4
Harry Sheezel,goals,0,13,28
Harvey Gallagher,goals,0,3,5
Harvey Harrison,goals,0,5,2
Harvey Langford,goals,0,19,22
Harvey Thomas,goals,0,19,17
Hayden McLean,goals,0,16,11
Heath Chapman,goals,0,33,9
Henry Hustwaite,goals,0,4,1
Hudson O'Keeffe,goals,0,5,3
Hugh Bond,goals,0,8,4
Hugh Boxshall,goals,0,9,8
Hugh Jackson,goals,0,4,5
Hugo Garcia,goals,0,16,20
Hugo Hall-Kahan,goals,0,5,2
Hunter Clark,goals,0,8,10
Hussien El Achkar,goals,0,1,6
Isaac Cumming,goals,0,24,12
Isaac Heeney,goals,0,25,15
Isaac Keeler,goals,0,4,9
Isaac Quaynor,goals,0,26,15
Isaiah Dudley,goals,0,28,7
Izak Rankine,goals,0,26,12
Jack Buckley,goals,0,18,10
Jack Buller,goals,0,11,7
Jack Carroll,goals,0,6,9
Jack Crisp,goals,0,28,15
Jack Darling,goals,0,12,27
Jack Ginnivan,goals,0,30,13
Jack Gunston,goals,0,24,11
Jack Henry,goals,0,23,13
Jack Higgins,goals,0,16,20
Jack Ison,goals,0,7,1
Jack Macrae,goals,0,11,20
Jack Payne,goals,0,8,4
Jack Ross,goals,0,7,31
Jack Scrimshaw,goals,0,13,8
Jack Silvagni,goals,0,15,17
Jack Sinclair,goals,0,15,23
Jack Steele,goals,0,20,21
Jack Watkins,goals,0,3,7
Jackson Mead,goals,0,11,18
Jacob Hopper,goals,0,7,28
Jacob Wehr,goals,0,13,15
Jacob Weitering,goals,0,12,21
Jade Gresham,goals,0,6,20
Jaeger O'Meara,goals,0,14,6
Jagga Smith,goals,0,9,10
Jai Culley,goals,0,6,5
Jai Newcombe,goals,0,30,14
Jai Serong,goals,0,13,5
Jake Bowey,goals,0,14,20
Jake Kolodjashnij,goals,0,6,5
Jake Lever,goals,0,14,12
Jake Lloyd,goals,0,25,16
Jake Riccardi,goals,0,18,11
Jake Soligo,goals,0,29,13
James Borlase,goals,0,11,5
James Jordon,goals,0,26,16
James Leake,goals,0,5,3
James O'Donnell,goals,0,25,12
James Peatling,goals,0,29,13
James Rowbottom,goals,0,26,16
James Sicily,goals,0,26,14
James Trezise,goals,0,7,23
James Tunstill,goals,0,10,4
James Worpel,goals,0,18,11
Jamie Cripps,goals,0,3,23
Jarman Impey,goals,0,29,11
Jarrod Berry,goals,0,27,10
Jarrod Witts,goals,0,20,16
Jase Burgoyne,goals,0,14,25
Jason Horne-Francis,goals,0,13,20
Jason Johannisen,goals,0,10,6
Jaspa Fletcher,goals,0,32,13
Jaxon Prior,goals,0,8,33
Jayden Laverde,goals,0,8,23
Jed Bews,goals,0,3,1
Jedd Busslinger,goals,0,10,4
Jeremy Howe,goals,0,24,10
Jeremy Sharp,goals,0,11,5
Jhye Clark,goals,0,9,6
Jimmy Webster,goals,0,5,10
Jobe Shanahan,goals,0,4,24
Joe Berry,goals,0,10,21
Joe Fonti,goals,0,19,16
Joel Fitzgerald,goals,0,4,2
Joel Freijah,goals,0,26,16
Joel Hamling,goals,0,11,9
Joel Jeffrey,goals,0,23,20
John Noble,goals,0,23,21
Jordan Clark,goals,0,33,10
Jordan Dawson,goals,0,28,13
Jordan Ridley,goals,0,6,11
Jordon Butts,goals,0,13,6
Jordon Sweet,goals,0,14,23
Josaia Delana,goals,0,4,4
Josh Battle,goals,0,29,13
Josh Daicos,goals,0,28,15
Josh Dolan,goals,0,10,8
Josh Dunkley,goals,0,32,13
Josh Goater,goals,0,1,3
Josh Kelly,goals,0,10,5
Josh Lai,goals,0,5,10
Josh Lindsay,goals,0,3,9
Josh Sinn,goals,0,8,12
Josh Treacy,goals,0,33,10
Josh Ward,goals,0,29,14
Josh Weddle,goals,0,23,10
Josh Worrell,goals,0,29,14
Joshua Draper,goals,0,7,4
Judd McVee,goals,0,22,13
Jy Farrar,goals,0,7,3
Kamdyn McIntosh,goals,0,5,18
Kane Farrell,goals,0,12,22
Karl Amon,goals,0,26,13
Karl Worner,goals,0,33,9
Keidean Coleman,goals,0,6,7
Kieren Briggs,goals,0,19,15
Koltyn Tholstrup,goals,0,16,12
Kyle Langford,goals,0,5,19
Lachie Ash,goals,0,24,19
Lachie Fogarty,goals,0,8,14
Lachie Jaques,goals,0,6,2
Lachie Jones,goals,0,12,23
Lachie Neale,goals,0,28,12
Lachie Schultz,goals,0,17,15
Lachie Weller,goals,0,20,10
Lachie Whitfield,goals,0,21,19
Lachlan Blakiston,goals,0,1,27
Lachlan Bramble,goals,0,26,16
Lachlan Cowan,goals,0,13,19
Lachlan Gulbin,goals,0,3,6
Lachlan McAndrew,goals,0,12,7
Lachlan Murphy,goals,0,3,2
Lachlan Sholl,goals,0,3,2
Lawson Humphries,goals,0,30,13
Leek Aleer,goals,0,12,8
Levi Ashcroft,goals,0,32,13
Lewis Melican,goals,0,16,10
Lewis Young,goals,0,7,15
Liam Baker,goals,0,5,35
Liam Duggan,goals,0,5,35
Liam Henry,goals,0,5,9
Liam Jones,goals,0,2,3
Liam O'Connell,goals,0,8,8
Liam Stocker,goals,0,14,17
Lincoln McCarthy,goals,0,6,2
Lloyd Meek,goals,0,30,13
Logan Evans,goals,0,8,21
Luke Cleary,goals,0,12,6
Luke Davies-Uniacke,goals,0,13,27
Luke Jackson,goals,0,31,9
Luke McDonald,goals,0,11,20
Luke Nankervis,goals,0,12,8
Luke Parker,goals,0,13,27
Luke Ryan,goals,0,33,9
Luke Trainor,goals,0,6,24
Mac Andrew,goals,0,22,21
Malakai Champion,goals,0,2,8
Mani Liddy,goals,0,4,5
Marc Pittonet,goals,0,10,13
Marcus Windhager,goals,0,18,24
Mark Blicavs,goals,0,25,15
Mark Keane,goals,0,22,8
Mark O'Connor,goals,0,28,13
Massimo D'Ambrosio,goals,0,30,14
Matt Crouch,goals,0,4,2
Matt Roberts,goals,0,20,13
Matt Rowell,goals,0,18,21
Mattaes Phillipou,goals,0,11,14
Matthew Carroll,goals,0,11,16
Matthew Cottrell,goals,0,7,7
Matthew Johnson,goals,0,28,8
Matthew Kennedy,goals,0,26,16
Matthew Owies,goals,0,1,18
Maurice Rioli,goals,0,3,19
Max Hall,goals,0,18,24
Max Holmes,goals,0,29,15
Max Kondogiannis,goals,0,1,7
Max Michalanney,goals,0,26,14
Max Ramsden,goals,0,4,2
Michael Sellwood,goals,0,12,7
Mitch Lewis,goals,0,18,8
Mitch McGovern,goals,0,15,21
Mitch Owens,goals,0,15,20
Mitchell Edwards,goals,0,10,5
Mitchell Hinge,goals,0,18,7
Murphy Reid,goals,0,33,10
Mykelti Lefau,goals,0,2,16
Nasiah Wanganeen-Milera,goals,0,17,21
Nat Fyfe,goals,0,6,2
Nate Caddy,goals,0,8,27
Nathan Broad,goals,0,7,33
Nathan O'Driscoll,goals,0,19,7
Ned Long,goals,0,27,14
Ned Moyle,goals,0,5,10
Ned Reeves,goals,0,10,4
Neil Erasmus,goals,0,28,7
Nic Newman,goals,0,8,8
Nicholas Madden,goals,0,4,4
Nick Blakey,goals,0,26,16
Nick Bryan,goals,0,3,11
Nick Coffield,goals,0,10,5
Nick Daicos,goals,0,28,14
Nick Haynes,goals,0,17,21
Nick Holman,goals,0,11,11
Nick Larkey,goals,0,12,23
Nick Murray,goals,0,15,8
Nick Vlastuin,goals,0,7,33
Noah Anderson,goals,0,22,21
Noah Answerth,goals,0,20,7
Noah Balta,goals,0,4,26
Noah Mraz,goals,0,3,1
Oisin Mullin,goals,0,29,15
Oleg Markov,goals,0,5,3
Oliver Florent,goals,0,16,19
Oliver Hannaford,goals,0,3,2
Oliver Hayes-Brown,goals,0,2,5
Oliver Hollands,goals,0,12,22
Oliver Wiltshire,goals,0,7,6
Ollie Wines,goals,0,12,23
Oscar Adams,goals,0,11,10
Patrick Dangerfield,goals,0,25,13
Patrick Lipinski,goals,0,27,13
Patrick Retschko,goals,0,2,12
Paul Curtis,goals,0,10,25
Peter Ladhams,goals,0,6,6
Peter Wright,goals,0,6,27
Phoenix Gothard,goals,0,7,9
Reilly O'Brien,goals,0,18,8
Reuben Ginbey,goals,0,5,31
Rhett Bazzo,goals,0,2,15
Rhylee West,goals,0,26,15
Rhys Stanley,goals,0,16,4
Riley Bice,goals,0,22,11
Riley Garcia,goals,0,5,3
Riley Hardeman,goals,0,4,16
Robert Hansen Jr,goals,0,3,9
Rory Laird,goals,0,26,11
Rory Lobb,goals,0,25,14
Rowan Marshall,goals,0,17,23
Ryan Angwin,goals,0,13,13
Ryan Burton,goals,0,3,5
Ryan Byrnes,goals,0,12,16
Ryan Lester,goals,0,30,10
Ryan Maric,goals,0,3,30
Ryley Sanders,goals,0,23,15
Saad El-Hawli,goals,0,4,13
Sam Banks,goals,0,5,31
Sam Berry,goals,0,27,11
Sam Clohesy,goals,0,14,9
Sam Collins,goals,0,21,20
Sam De Koning,goals,0,28,12
Sam Draper,goals,0,16,7
Sam Durham,goals,0,8,30
Sam Flanders,goals,0,19,16
Sam Grlj,goals,0,2,15
Sam Lalor,goals,0,3,17
Sam Marshall,goals,0,7,6
Sam Powell-Pepper,goals,0,7,9
Sam Switkowski,goals,0,29,7
Sam Taylor,goals,0,15,13
Sam Walsh,goals,0,16,17
Sam Wicks,goals,0,24,12
Samson Ryan,goals,0,1,4
Sandy Brock,goals,0,1,18
Scott Pendlebury,goals,0,23,13
Sean Darcy,goals,0,16,8
Shai Bolton,goals,0,32,9
Shannon Neale,goals,0,29,15
Shaun Mannagh,goals,0,29,13
Sid Draper,goals,0,7,3
Steele Sidebottom,goals,0,25,14
Steely Green,goals,0,5,31
Stephen Coniglio,goals,0,15,12
Steven May,goals,0,4,12
Tanner Bruhn,goals,0,9,8
Taylor Adams,goals,0,1,3
Taylor Duryea,goals,0,3,2
Taylor Walker,goals,0,24,12
Ted Clohesy,goals,0,6,3
Thomas Edwards,goals,0,2,7
Thomson Dow,goals,0,3,8
Tim English,goals,0,24,12
Tim Kelly,goals,0,5,32
Tobie Travaglia,goals,0,8,8
Toby McMullin,goals,0,8,9
Toby Pink,goals,0,8,13
Todd Goldstein,goals,0,3,13
Tom Atkins,goals,0,30,15
Tom Barrass,goals,0,27,12
Tom Blamires,goals,0,7,7
Tom Brown,goals,0,6,31
Tom Burton,goals,0,2,3
Tom Cole,goals,0,3,28
Tom Gross,goals,0,1,8
Tom Liberatore,goals,0,20,11
Tom McCarthy,goals,0,4,24
Tom McCartin,goals,0,22,14
Tom McDonald,goals,0,9,14
Tom Mitchell,goals,0,2,2
Tom Papley,goals,0,16,9
Tom Powell,goals,0,9,21
Tom Sparrow,goals,0,19,22
Tom Stewart,goals,0,26,11
Travis Boak,goals,0,7,9
Trent Rivers,goals,0,14,21
Ty Gallop,goals,0,16,7
Tylar Young,goals,0,6,20
Tyler Sonsie,goals,0,5,24
Wade Derksen,goals,0,6,4
Wayne Milera,goals,0,28,13
Wil Dawson,goals,0,2,9
Wil Parker,goals,0,4,4
Wil Powell,goals,0,23,19
Will Ashcroft,goals,0,32,13
Will Day,goals,0,10,3
Will Hayward,goals,0,19,20
Will Lorenz,goals,0,1,6
Will Phillips,goals,0,1,6
Will Setterfield,goals,0,5,15
Willem Drew,goals,0,15,27
Willem Duursma,goals,0,4,14
William Edwards,goals,0,9,4
Xavier Duursma,goals,0,8,32
Xavier Lindsay,goals,0,9,14
Xavier O'Halloran,goals,0,19,15
Zac Banch,goals,0,1,7
Zac Fisher,goals,0,2,6
Zac Taylor,goals,0,23,11
Zach Guthrie,goals,0,30,15
Zach Merrett,goals,0,8,33
Zach Reid,goals,0,8,21
Zak Butters,goals,0,14,23
Zak Jones,goals,0,8,7
Zeke Uwland,goals,0,5,11
Andrew Brayshaw,goals,-0.5,33,10
Arthur Jones,goals,-0.5,12,6
Charlie West,goals,-0.5,4,1
Cody Weightman,goals,-0.5,4,2
Cooper Harvey,goals,-0.5,4,10
Harrison Oliver,goals,-0.5,3,2
Harry Armstrong,goals,-0.5,1,10
Harry Rowston,goals,-0.5,12,6
Jack Ough,goals,-0.5,2,2
Jacob Blight,goals,-0.5,1,6
James Harmes,goals,-0.5,7,6
Jed Walter,goals,-0.5,12,18
Kysaiah Pickett,goals,-0.5,19,20
Mason Cox,goals,-0.5,18,4
Max Heath,goals,-0.5,7,4
Mitch Duncan,goals,-0.5,7,2
Oscar McDonald,goals,-0.5,11,2
Oskar Baker,goals,-0.5,10,8
Sam Cumming,goals,-0.5,2,11
Xavier Bamert,goals,-0.5,2,5
Aidan Johnson,goals,-1,3,3
Bailey Laurie,goals,-1,8,5
Campbell Lake,goals,-1,3,3
Cody Curtin,goals,-1,2,2
Cooper Hynes,goals,-1,17,8
Corey Warner,goals,-1,10,9
Elijah Hollands,goals,-1,4,7
Isaac Kako,goals,-1,8,26
Jack Dalton,goals,-1,3,1
Jack Lukosius,goals,-1,6,9
Jack Whitlock,goals,-1,7,16
Jack Williams,goals,-1,2,19
Jacob Newton,goals,-1,2,3
Jasper Alger,goals,-1,1,11
Jed McEntee,goals,-1,1,5
Jesse Motlop,goals,-1,9,14
Jordan Croft,goals,-1,11,5
Jye Caldwell,goals,-1,5,20
Lachlan Sullivan,goals,-1,12,3
Lachy Dovaston,goals,-1,3,3
Laitham Vandermeer,goals,-1,12,8
Latrelle Pickett,goals,-1,11,5
Mitch Knevitt,goals,-1,5,4
Oliver Dempsey,goals,-1,30,15
Orazio Fantasia,goals,-1,2,4
Oscar McInerney,goals,-1,11,2
Roan Steele,goals,-1,10,9
Sam Butler,goals,-1,10,3
Sam Day,goals,-1,10,3
Tom Hanily,goals,-1,5,7
Tyler Brockman,goals,-1,1,19
Will McLachlan,goals,-1,5,2
Mitch Zadow,goals,-1.5,3,2
Beau Addinsall,goals,NA,0,6
Ben Paton,goals,NA,0,4
Billy Cootee,goals,NA,5,0
Brynn Teakle,goals,NA,0,4
Christopher Scerri,goals,NA,7,0
Clay Hall,goals,NA,0,13
Dylan Patterson,goals,NA,0,4
Jack Henderson,goals,NA,0,5
Jai Murray,goals,NA,0,8
Jayden Nguyen,goals,NA,0,10
Jeremy McGovern,goals,NA,0,6
Jordan Boyd,goals,NA,0,5
Kaleb Smith,goals,NA,0,8
Kye Annand,goals,NA,0,7
Liam Fawcett,goals,NA,0,8
Liam McMahon,goals,NA,0,7
Liam Puncher,goals,NA,4,0
Liam Reidy,goals,NA,0,5
Louis Emmett,goals,NA,0,5
Luamon Lual,goals,NA,0,12
Marcus Herbert,goals,NA,0,6
Nik Cox,goals,NA,0,8
Noah Long,goals,NA,0,10
Oliver Francou,goals,NA,0,4
Oskar Smartt,goals,NA,0,4
Sam Swadling,goals,NA,5,0
Seamus Mitchell,goals,NA,4,0
Tyrell Dewar,goals,NA,0,16
Zak Johnson,goals,NA,0,14
Hunter Clark,marks,5,8,10
Angus Clarke,marks,4,2,15
Nick Vlastuin,marks,4,7,33
Ryan Burton,marks,4,3,5
Bailey Scott,marks,3.5,3,10
Bailey Williams,marks,3.5,22,14
Billy Wilson,marks,3.5,10,5
Callum Wilkie,marks,3.5,18,24
Hugo Ralphsmith,marks,3.5,2,19
Jimmy Webster,marks,3.5,5,10
Tom Mitchell,marks,3.5,2,2
Zak Jones,marks,3.5,8,7
Brayden Cook,marks,3,15,6
Cameron Nairn,marks,3,3,1
Charlie Ballard,marks,3,3,5
Darcy Parish,marks,3,1,16
Esava Ratugolea,marks,3,8,13
Harvey Gallagher,marks,3,3,5
Jack Henry,marks,3,23,13
Jack Ison,marks,3,7,1
Jack Silvagni,marks,3,15,17
Jacob Farrow,marks,3,2,15
Jai Culley,marks,3,6,5
