player_name,stat,median_diff,games_home,games_away
Steele Sidebottom,disposals,3,24,19
Tim Taranto,disposals,3,22,21
Zak Butters,disposals,3,20,17
Adam Cerra,disposals,2.5,19,20
Brennan Cox,disposals,2.5,20,22
Brodie Kemp,disposals,2.5,14,14
Callum Mills,disposals,2.5,16,18
Elijah Hollands,disposals,2.5,4,7
Finn Maginness,disposals,2.5,8,11
Harry Cunningham,disposals,2.5,12,12
Harry Morrison,disposals,2.5,15,18
Jack Watkins,disposals,2.5,7,4
Jake Riccardi,disposals,2.5,16,13
Lachie Schultz,disposals,2.5,19,18
Lachlan Cowan,disposals,2.5,18,18
Luke Nankervis,disposals,2.5,11,12
Luke Trainor,disposals,2.5,16,17
Matt Flynn,disposals,2.5,12,10
Max Gruzewski,disposals,2.5,10,12
Nasiah Wanganeen-Milera,disposals,2.5,20,20
Ned Reeves,disposals,2.5,8,8
Nick Holman,disposals,2.5,10,13
Rhys Unwin,disposals,2.5,5,2
Taylor Duryea,disposals,2.5,3,2
Zach Merrett,disposals,2.5,22,23
Zach Reid,disposals,2.5,17,16
Alex Pearce,disposals,2,17,19
Andrew Brayshaw,disposals,2,23,24
Angus Sheldrick,disposals,2,19,19
Archer Day-Wicks,disposals,2,13,13
Bailey Macdonald,disposals,2,11,7
Bayley Fritsch,disposals,2,20,23
Ben King,disposals,2,22,26
Bo Allan,disposals,2,13,12
Brady Hough,disposals,2,21,24
Clay Hall,disposals,2,5,8
Cooper Duff-Tytler,disposals,2,7,9
Dan Houston,disposals,2,23,21
Daniel Curtin,disposals,2,22,19
Daniel Turner,disposals,2,17,21
Dante Visentini,disposals,2,12,11
Dougal Howard,disposals,2,7,3
Eric Hipwood,disposals,2,15,17
Harley Reid,disposals,2,20,22
Harvey Johnston,disposals,2,3,5
Hugh Jackson,disposals,2,3,6
Izak Rankine,disposals,2,23,19
Jack Bowes,disposals,2,15,15
Jack Macrae,disposals,2,17,16
Jackson Mead,disposals,2,16,14
Jai Culley,disposals,2,5,6
Jai Serong,disposals,2,12,10
Jake Melksham,disposals,2,12,13
Jaxon Prior,disposals,2,23,22
Jayden Nguyen,disposals,2,5,5
Jhye Clark,disposals,2,11,8
Joe Berry,disposals,2,18,17
Jordan Clark,disposals,2,23,24
Josh Treacy,disposals,2,23,24
Josh Weddle,disposals,2,17,21
Josh Worrell,disposals,2,25,22
Jy Farrar,disposals,2,6,5
Jy Simpkin,disposals,2,24,20
Kai Lohmann,disposals,2,19,22
Keidean Coleman,disposals,2,7,7
Latrelle Pickett,disposals,2,8,8
Luamon Lual,disposals,2,6,6
Mabior Chol,disposals,2,19,23
Matt Crouch,disposals,2,4,2
Max Kondogiannis,disposals,2,7,5
Milan Murdock,disposals,2,10,10
Murphy Reid,disposals,2,22,23
Nic Newman,disposals,2,7,9
Oliver Dempsey,disposals,2,26,23
Ollie Lord,disposals,2,8,8
Ollie Wines,disposals,2,19,20
Oskar Baker,disposals,2,7,11
Sam Banks,disposals,2,20,20
Sean Darcy,disposals,2,11,13
Sid Draper,disposals,2,5,5
Steven May,disposals,2,7,9
Toby Bedford,disposals,2,21,19
Toby Nankervis,disposals,2,18,16
Tom Barrass,disposals,2,21,23
Tom Lynch,disposals,2,18,13
Tom McDonald,disposals,2,13,14
Ty Gallop,disposals,2,9,15
Tyler Brockman,disposals,2,10,10
Tyler Sonsie,disposals,2,16,15
Will Ashcroft,disposals,2,23,27
Xavier Duursma,disposals,2,19,21
Archie Perkins,disposals,1.5,17,20
Archie Roberts,disposals,1.5,22,22
Ben Keays,disposals,1.5,26,22
Ben Long,disposals,1.5,21,24
Ben McKay,disposals,1.5,12,13
Buku Khamis,disposals,1.5,18,19
Caiden Cleary,disposals,1.5,10,11
Caleb Windsor,disposals,1.5,19,18
Cam Mackenzie,disposals,1.5,16,17
Christian Salem,disposals,1.5,16,16
Cooper Trembath,disposals,1.5,14,12
Dylan Patterson,disposals,1.5,3,2
Finnbar Maley,disposals,1.5,8,5
Gryan Miers,disposals,1.5,21,18
Isaac Heeney,disposals,1.5,22,21
Jake Bowey,disposals,1.5,20,18
James O'Donnell,disposals,1.5,20,21
Jarrod Witts,disposals,1.5,17,20
Joel Hamling,disposals,1.5,12,11
Josh Rachele,disposals,1.5,19,18
Justin McInerney,disposals,1.5,18,12
Kane Farrell,disposals,1.5,18,16
Koltyn Tholstrup,disposals,1.5,16,16
Lachie Jones,disposals,1.5,20,18
Lewis Melican,disposals,1.5,16,11
Matthew Carroll,disposals,1.5,15,12
Max Heath,disposals,1.5,5,6
Nate Caddy,disposals,1.5,20,19
Nick Watson,disposals,1.5,22,24
Noah Balta,disposals,1.5,16,14
Oscar McDonald,disposals,1.5,10,7
Paddy Cross,disposals,1.5,5,6
Ryan Byrnes,disposals,1.5,18,14
Sam Berry,disposals,1.5,23,18
Sam Darcy,disposals,1.5,11,12
Sandy Brock,disposals,1.5,8,12
Seamus Mitchell,disposals,1.5,2,2
Seth Campbell,disposals,1.5,22,23
Will Hayward,disposals,1.5,20,22
Willie Rioli,disposals,1.5,11,8
Zac Banch,disposals,1.5,6,6
Aaron Naughton,disposals,1,23,22
Aidan Johnson,disposals,1,5,1
Alex Sexton,disposals,1,2,3
Alixzander Tauru,disposals,1,4,6
Archer Reid,disposals,1,9,11
Ashton Moir,disposals,1,5,6
Bailey J. Williams,disposals,1,15,20
Ben Ainsworth,disposals,1,22,25
Blake Howes,disposals,1,15,17
Bodhi Uwland,disposals,1,22,26
Brayden Cook,disposals,1,13,12
Charlie Cameron,disposals,1,22,26
Charlie Curnow,disposals,1,22,18
Cody Weightman,disposals,1,5,4
Connor Rozee,disposals,1,13,10
Conor Stone,disposals,1,8,9
Cooper Lord,disposals,1,15,15
Dan Butler,disposals,1,8,8
Darcy Byrne-Jones,disposals,1,22,22
Darcy Fort,disposals,1,20,23
Darcy Wilson,disposals,1,19,21
Elliot Yeo,disposals,1,10,11
