match,market_name,player_name,player_team,under_line,opposition_team,over_price,over_agency,under_price,under_agency,over_line,margin
Brisbane Lions v Adelaide Crows,Player Disposals,Zac Bailey,Brisbane Lions,22.5,Adelaide Crows,1.06,Pointsbet,1.87,Pointsbet,15.5,-47.81555847038641
Brisbane Lions v Adelaide Crows,Player Disposals,Zac Bailey,Brisbane Lions,22.5,Adelaide Crows,1.06,Sportsbet,1.87,Pointsbet,15.5,-47.81555847038641
Brisbane Lions v Adelaide Crows,Player Disposals,Rory Laird,Adelaide Crows,20.5,Brisbane Lions,1.02,Neds,2.0069999999999997,Betfair,14.5,-47.86482605000146
Brisbane Lions v Adelaide Crows,Player Disposals,Lachie Neale,Brisbane Lions,28.5,Adelaide Crows,1.05,Sportsbet,1.9,Sportsbet,21.5,-47.869674185463666
Brisbane Lions v Adelaide Crows,Player Disposals,Lachie Neale,Brisbane Lions,28.5,Adelaide Crows,1.05,Sportsbet,1.9,Neds,21.5,-47.869674185463666
Brisbane Lions v Adelaide Crows,Player Disposals,Darcy Wilmot,Brisbane Lions,19.5,Adelaide Crows,1.13,Pointsbet,1.684,Betfair,14.5,-47.877998024089294
Brisbane Lions v Adelaide Crows,Player Disposals,Daniel Curtin,Adelaide Crows,16.5,Brisbane Lions,1.1,Sportsbet,1.7505,Betfair,11.5,-48.03562618472643
Brisbane Lions v Adelaide Crows,Player Disposals,Josh Dunkley,Brisbane Lions,22.5,Adelaide Crows,1.02,BetRight,2,Sportsbet,14.5,-48.03921568627452
Brisbane Lions v Adelaide Crows,Player Disposals,Josh Worrell,Adelaide Crows,19.5,Brisbane Lions,1.1,Sportsbet,1.75,Sportsbet,13.5,-48.05194805194803
Brisbane Lions v Adelaide Crows,Player Disposals,Izak Rankine,Adelaide Crows,28.5,Brisbane Lions,1.08,Neds,1.8,Sportsbet,21.5,-48.14814814814814
Brisbane Lions v Adelaide Crows,Player Disposals,Ryan Lester,Brisbane Lions,14.5,Adelaide Crows,1.04,Neds,1.92,Neds,9.5,-48.237179487179475
Brisbane Lions v Adelaide Crows,Player Disposals,Lachie Neale,Brisbane Lions,28.5,Adelaide Crows,1.02,BetRight,1.988,Betfair,19.5,-48.34102655146566
Brisbane Lions v Adelaide Crows,Player Disposals,Rory Laird,Adelaide Crows,21.5,Brisbane Lions,1.1,Pointsbet,1.74,Sportsbet,15.5,-48.380355276907004
Brisbane Lions v Adelaide Crows,Player Disposals,Rory Laird,Adelaide Crows,21.5,Brisbane Lions,1.06,BetRight,1.85,Neds,14.5,-48.39367669556347
Brisbane Lions v Adelaide Crows,Player Disposals,Rory Laird,Adelaide Crows,21.5,Brisbane Lions,1.06,Sportsbet,1.85,Neds,14.5,-48.39367669556347
Brisbane Lions v Adelaide Crows,Player Disposals,Will Ashcroft,Brisbane Lions,28.5,Adelaide Crows,1.06,Pointsbet,1.85,Neds,20.5,-48.39367669556347
Brisbane Lions v Adelaide Crows,Player Disposals,Will Ashcroft,Brisbane Lions,28.5,Adelaide Crows,1.06,Sportsbet,1.85,Neds,22.5,-48.39367669556347
Brisbane Lions v Adelaide Crows,Player Disposals,Jake Soligo,Adelaide Crows,16.5,Brisbane Lions,1.07,Sportsbet,1.82,Sportsbet,10.5,-48.402998870288584
Brisbane Lions v Adelaide Crows,Player Disposals,Jordan Dawson,Adelaide Crows,26.5,Brisbane Lions,1.05,Pointsbet,1.88,Sportsbet,18.5,-48.42958459979736
Brisbane Lions v Adelaide Crows,Player Disposals,Will Ashcroft,Brisbane Lions,29.5,Adelaide Crows,1.08,Neds,1.79,Sportsbet,21.5,-48.45851438030206
Brisbane Lions v Adelaide Crows,Player Disposals,Levi Ashcroft,Brisbane Lions,18.5,Adelaide Crows,1.04,Pointsbet,1.91,Neds,12.5,-48.50986709625453
Brisbane Lions v Adelaide Crows,Player Disposals,Cam Rayner,Brisbane Lions,14.5,Adelaide Crows,1.03,Neds,1.94,Neds,9.5,-48.63377039335401
Brisbane Lions v Adelaide Crows,Player Disposals,Darcy Wilmot,Brisbane Lions,18.5,Adelaide Crows,1.03,Pointsbet,1.94,Neds,12.5,-48.63377039335401
Brisbane Lions v Adelaide Crows,Player Disposals,Sam Berry,Adelaide Crows,19.5,Brisbane Lions,1.06,Sportsbet,1.84,Sportsbet,13.5,-48.68744872846595
Brisbane Lions v Adelaide Crows,Player Disposals,Daniel Curtin,Adelaide Crows,16.5,Brisbane Lions,1.05,Sportsbet,1.87,Neds,10.5,-48.71403106697223
Brisbane Lions v Adelaide Crows,Player Disposals,Hugo Hall-Kahan,Adelaide Crows,17.5,Brisbane Lions,1.05,Pointsbet,1.87,Sportsbet,11.5,-48.71403106697223
Brisbane Lions v Adelaide Crows,Player Disposals,Hugo Hall-Kahan,Adelaide Crows,17.5,Brisbane Lions,1.05,Sportsbet,1.87,Sportsbet,11.5,-48.71403106697223
Brisbane Lions v Adelaide Crows,Player Disposals,Hugo Hall-Kahan,Adelaide Crows,17.5,Brisbane Lions,1.05,Pointsbet,1.87,Neds,11.5,-48.71403106697223
Brisbane Lions v Adelaide Crows,Player Disposals,Hugo Hall-Kahan,Adelaide Crows,17.5,Brisbane Lions,1.05,Sportsbet,1.87,Neds,11.5,-48.71403106697223
Brisbane Lions v Adelaide Crows,Player Disposals,Jordan Dawson,Adelaide Crows,26.5,Brisbane Lions,1.05,Pointsbet,1.87,Pointsbet,18.5,-48.71403106697223
Brisbane Lions v Adelaide Crows,Player Disposals,Jordan Dawson,Adelaide Crows,26.5,Brisbane Lions,1.05,Pointsbet,1.87,Neds,18.5,-48.71403106697223
Brisbane Lions v Adelaide Crows,Player Disposals,Lachie Neale,Brisbane Lions,28.5,Adelaide Crows,1.05,Sportsbet,1.87,Pointsbet,21.5,-48.71403106697223
Brisbane Lions v Adelaide Crows,Player Disposals,Wayne Milera,Adelaide Crows,22.5,Brisbane Lions,1.05,Pointsbet,1.87,Pointsbet,15.5,-48.71403106697223
Brisbane Lions v Adelaide Crows,Player Disposals,Wayne Milera,Adelaide Crows,22.5,Brisbane Lions,1.05,Sportsbet,1.87,Pointsbet,15.5,-48.71403106697223
Brisbane Lions v Adelaide Crows,Player Disposals,Lachie Neale,Brisbane Lions,28.5,Adelaide Crows,1.04,Pointsbet,1.9,Sportsbet,19.5,-48.78542510121457
Brisbane Lions v Adelaide Crows,Player Disposals,Lachie Neale,Brisbane Lions,28.5,Adelaide Crows,1.04,Pointsbet,1.9,Neds,19.5,-48.78542510121457
Brisbane Lions v Adelaide Crows,Player Disposals,Izak Rankine,Adelaide Crows,28.5,Brisbane Lions,1.06,Pointsbet,1.83,Neds,20.5,-48.98443138467883
Brisbane Lions v Adelaide Crows,Player Disposals,Izak Rankine,Adelaide Crows,28.5,Brisbane Lions,1.06,Sportsbet,1.83,Neds,21.5,-48.98443138467883
Brisbane Lions v Adelaide Crows,Player Disposals,Daniel Curtin,Adelaide Crows,16.5,Brisbane Lions,1.05,Sportsbet,1.86,Sportsbet,10.5,-49.00153609831028
Brisbane Lions v Adelaide Crows,Player Disposals,Josh Dunkley,Brisbane Lions,22.5,Adelaide Crows,1.01,Neds,2,Sportsbet,14.5,-49.00990099009901
Brisbane Lions v Adelaide Crows,Player Disposals,Levi Ashcroft,Brisbane Lions,18.5,Adelaide Crows,1.04,Pointsbet,1.89,Sportsbet,12.5,-49.06389906389905
Brisbane Lions v Adelaide Crows,Player Disposals,Mark Keane,Adelaide Crows,14.5,Brisbane Lions,1.04,Neds,1.89,Sportsbet,9.5,-49.06389906389905
Brisbane Lions v Adelaide Crows,Player Disposals,Dayne Zorko,Brisbane Lions,22.5,Adelaide Crows,1.03,Neds,1.92,Neds,15.5,-49.17071197411005
Brisbane Lions v Adelaide Crows,Player Disposals,Josh Worrell,Adelaide Crows,18.5,Brisbane Lions,1.03,Pointsbet,1.92,Neds,12.5,-49.17071197411005
Brisbane Lions v Adelaide Crows,Player Disposals,Luke Nankervis,Adelaide Crows,14.5,Brisbane Lions,1.05,Pointsbet,1.85,Sportsbet,9.5,-49.29214929214929
Brisbane Lions v Adelaide Crows,Player Disposals,Rory Laird,Adelaide Crows,21.5,Brisbane Lions,1.05,Pointsbet,1.85,Neds,14.5,-49.29214929214929
Brisbane Lions v Adelaide Crows,Player Disposals,Wayne Milera,Adelaide Crows,22.5,Brisbane Lions,1.05,Pointsbet,1.85,Sportsbet,15.5,-49.29214929214929
Brisbane Lions v Adelaide Crows,Player Disposals,Wayne Milera,Adelaide Crows,22.5,Brisbane Lions,1.05,Sportsbet,1.85,Sportsbet,15.5,-49.29214929214929
Brisbane Lions v Adelaide Crows,Player Disposals,Wayne Milera,Adelaide Crows,22.5,Brisbane Lions,1.05,Pointsbet,1.85,Neds,15.5,-49.29214929214929
Brisbane Lions v Adelaide Crows,Player Disposals,Wayne Milera,Adelaide Crows,22.5,Brisbane Lions,1.05,Sportsbet,1.85,Neds,15.5,-49.29214929214929
Brisbane Lions v Adelaide Crows,Player Disposals,Josh Dunkley,Brisbane Lions,22.5,Adelaide Crows,1.02,BetRight,1.95,Pointsbet,14.5,-49.321266968325794
Brisbane Lions v Adelaide Crows,Player Disposals,Jordan Dawson,Adelaide Crows,26.5,Brisbane Lions,1.04,TAB,1.88,Sportsbet,19.5,-49.34533551554827
Brisbane Lions v Adelaide Crows,Player Disposals,Ryan Lester,Brisbane Lions,14.5,Adelaide Crows,1.04,Neds,1.88,Sportsbet,9.5,-49.34533551554827
Brisbane Lions v Adelaide Crows,Player Disposals,Sam Berry,Adelaide Crows,19.5,Brisbane Lions,1.07,Pointsbet,1.7885,Betfair,13.5,-49.370719994565484
Brisbane Lions v Adelaide Crows,Player Disposals,Will Ashcroft,Brisbane Lions,29.5,Adelaide Crows,1.06,Pointsbet,1.817,Betfair,20.5,-49.37539589412363
Brisbane Lions v Adelaide Crows,Player Disposals,Will Ashcroft,Brisbane Lions,29.5,Adelaide Crows,1.06,Sportsbet,1.817,Betfair,22.5,-49.37539589412363
Brisbane Lions v Adelaide Crows,Player Disposals,Dayne Zorko,Brisbane Lions,23.5,Adelaide Crows,1.03,Neds,1.91,Sportsbet,15.5,-49.44339958318507
Brisbane Lions v Adelaide Crows,Player Disposals,Zac Bailey,Brisbane Lions,22.5,Adelaide Crows,1.03,BetRight,1.91,Neds,14.5,-49.44339958318507
Brisbane Lions v Adelaide Crows,Player Disposals,Zac Bailey,Brisbane Lions,22.5,Adelaide Crows,1.03,Neds,1.91,Neds,15.5,-49.44339958318507
Brisbane Lions v Adelaide Crows,Player Disposals,Darcy Wilmot,Brisbane Lions,19.5,Adelaide Crows,1.11,TAB,1.684,Betfair,14.5,-49.472512892940436
Brisbane Lions v Adelaide Crows,Player Disposals,Jordan Dawson,Adelaide Crows,26.5,Brisbane Lions,1.04,TAB,1.87,Pointsbet,19.5,-49.629781982723145
Brisbane Lions v Adelaide Crows,Player Disposals,Jordan Dawson,Adelaide Crows,26.5,Brisbane Lions,1.04,TAB,1.87,Neds,19.5,-49.629781982723145
Brisbane Lions v Adelaide Crows,Player Disposals,Lachie Neale,Brisbane Lions,28.5,Adelaide Crows,1.04,Pointsbet,1.87,Pointsbet,19.5,-49.629781982723145
Brisbane Lions v Adelaide Crows,Player Disposals,Wayne Milera,Adelaide Crows,22.5,Brisbane Lions,1.04,Neds,1.87,Pointsbet,15.5,-49.629781982723145
Brisbane Lions v Adelaide Crows,Player Disposals,Will Ashcroft,Brisbane Lions,28.5,Adelaide Crows,1.04,Pointsbet,1.87,Pointsbet,19.5,-49.629781982723145
Brisbane Lions v Adelaide Crows,Player Disposals,Sam Berry,Adelaide Crows,19.5,Brisbane Lions,1.03,Pointsbet,1.9,Neds,12.5,-49.71895758814511
Brisbane Lions v Adelaide Crows,Player Disposals,Sam Berry,Adelaide Crows,19.5,Brisbane Lions,1.03,Neds,1.9,Neds,13.5,-49.71895758814511
Brisbane Lions v Adelaide Crows,Player Disposals,Josh Worrell,Adelaide Crows,19.5,Brisbane Lions,1.08,Neds,1.75,Sportsbet,13.5,-49.73544973544972
Brisbane Lions v Adelaide Crows,Player Disposals,Josh Dunkley,Brisbane Lions,22.5,Adelaide Crows,1.05,Neds,1.83,Neds,15.5,-49.882903981264626
Brisbane Lions v Adelaide Crows,Player Disposals,Josh Dunkley,Brisbane Lions,22.5,Adelaide Crows,1.05,Sportsbet,1.83,Neds,16.5,-49.882903981264626
Brisbane Lions v Adelaide Crows,Player Disposals,Izak Rankine,Adelaide Crows,28.5,Brisbane Lions,1.06,Pointsbet,1.8,Sportsbet,20.5,-49.89517819706499
Brisbane Lions v Adelaide Crows,Player Disposals,Izak Rankine,Adelaide Crows,28.5,Brisbane Lions,1.06,Sportsbet,1.8,Sportsbet,21.5,-49.89517819706499
Brisbane Lions v Adelaide Crows,Player Disposals,Zac Bailey,Brisbane Lions,22.5,Adelaide Crows,1.06,Pointsbet,1.8,Sportsbet,15.5,-49.89517819706499
