match,market_name,home_team,home_win,away_team,away_win,margin,agency
Collingwood Magpies v Carlton,Head To Head,Collingwood Magpies,1.48,Carlton,2.65,1.053,Dabble
Geelong Cats v Melbourne Demons,Head To Head,Geelong Cats,1.22,Melbourne Demons,4.25,1.055,Dabble
Gold Coast Suns v Adelaide Crows,Head To Head,Gold Coast Suns,1.75,Adelaide Crows,2.1,1.048,Dabble
Richmond Tigers v Brisbane Lions,Head To Head,Richmond Tigers,9,Brisbane Lions,1.06,1.055,Dabble
North Melbourne Kangaroos v Sydney Swans,Head To Head,North Melbourne Kangaroos,2.45,Sydney Swans,1.55,1.053,Dabble
GWS Giants v West Coast Eagles,Head To Head,GWS Giants,1.03,West Coast Eagles,13,1.048,Dabble
Port Adelaide Power v St Kilda Saints,Head To Head,Port Adelaide Power,1.53,St Kilda Saints,2.5,1.054,Dabble
Fremantle Dockers v Western Bulldogs,Head To Head,Fremantle Dockers,1.6,Western Bulldogs,2.35,1.051,Dabble
