match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,opposition_team,EventKey,MarketKey,OutcomeKey
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Bailey Laurie,Melbourne Demons,1.5,1.2,Pointsbet,Carlton,2860314,114104349,46
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Bailey Laurie,Melbourne Demons,3.5,2.35,Pointsbet,Carlton,2860314,114104349,47
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Bailey Laurie,Melbourne Demons,5.5,6.5,Pointsbet,Carlton,2860314,114104349,48
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Daniel Turner,Melbourne Demons,3.5,1.11,Pointsbet,Carlton,2860314,114104349,52
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Daniel Turner,Melbourne Demons,5.5,1.57,Pointsbet,Carlton,2860314,114104349,53
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Daniel Turner,Melbourne Demons,7.5,2.9,Pointsbet,Carlton,2860314,114104349,54
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Daniel Turner,Melbourne Demons,9.5,6,Pointsbet,Carlton,2860314,114104349,55
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Koltyn Tholstrup,Melbourne Demons,1.5,1.01,Pointsbet,Carlton,2860314,114104349,61
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Koltyn Tholstrup,Melbourne Demons,3.5,1.22,Pointsbet,Carlton,2860314,114104349,62
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Koltyn Tholstrup,Melbourne Demons,5.5,1.9,Pointsbet,Carlton,2860314,114104349,63
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Koltyn Tholstrup,Melbourne Demons,7.5,4,Pointsbet,Carlton,2860314,114104349,64
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Koltyn Tholstrup,Melbourne Demons,9.5,9,Pointsbet,Carlton,2860314,114104349,65
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Caleb Windsor,Melbourne Demons,1.5,1.36,Pointsbet,Carlton,2860314,114104349,66
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Caleb Windsor,Melbourne Demons,3.5,3.2,Pointsbet,Carlton,2860314,114104349,67
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Caleb Windsor,Melbourne Demons,5.5,9.5,Pointsbet,Carlton,2860314,114104349,68
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Harvey Langford,Melbourne Demons,1.5,1.08,Pointsbet,Carlton,2860314,114104349,76
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Harvey Langford,Melbourne Demons,3.5,1.63,Pointsbet,Carlton,2860314,114104349,77
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Harvey Langford,Melbourne Demons,5.5,3.5,Pointsbet,Carlton,2860314,114104349,78
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Harvey Langford,Melbourne Demons,7.5,9.5,Pointsbet,Carlton,2860314,114104349,79
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Max Gawn,Melbourne Demons,1.5,1.03,Pointsbet,Carlton,2860314,114104349,81
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Max Gawn,Melbourne Demons,3.5,1.33,Pointsbet,Carlton,2860314,114104349,82
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Max Gawn,Melbourne Demons,5.5,2.4,Pointsbet,Carlton,2860314,114104349,83
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Max Gawn,Melbourne Demons,7.5,5.5,Pointsbet,Carlton,2860314,114104349,84
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Max Gawn,Melbourne Demons,9.5,14,Pointsbet,Carlton,2860314,114104349,85
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Tom McDonald,Melbourne Demons,1.5,1.02,Pointsbet,Carlton,2860314,114104349,86
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Tom McDonald,Melbourne Demons,3.5,1.29,Pointsbet,Carlton,2860314,114104349,87
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Tom McDonald,Melbourne Demons,5.5,2.2,Pointsbet,Carlton,2860314,114104349,88
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Tom McDonald,Melbourne Demons,7.5,4.75,Pointsbet,Carlton,2860314,114104349,89
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Tom McDonald,Melbourne Demons,9.5,13,Pointsbet,Carlton,2860314,114104349,90
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Ed Langdon,Melbourne Demons,1.5,1.07,Pointsbet,Carlton,2860314,114104349,96
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Ed Langdon,Melbourne Demons,3.5,1.59,Pointsbet,Carlton,2860314,114104349,97
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Ed Langdon,Melbourne Demons,5.5,3.3,Pointsbet,Carlton,2860314,114104349,98
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Ed Langdon,Melbourne Demons,7.5,8,Pointsbet,Carlton,2860314,114104349,99
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Tom Sparrow,Melbourne Demons,1.5,1.24,Pointsbet,Carlton,2860314,114104349,106
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Tom Sparrow,Melbourne Demons,3.5,2.4,Pointsbet,Carlton,2860314,114104349,107
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Tom Sparrow,Melbourne Demons,5.5,6,Pointsbet,Carlton,2860314,114104349,108
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Joel Fitzgerald,Melbourne Demons,1.5,1.36,Pointsbet,Carlton,2860314,114104349,111
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Joel Fitzgerald,Melbourne Demons,3.5,3.2,Pointsbet,Carlton,2860314,114104349,112
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Joel Fitzgerald,Melbourne Demons,5.5,9.5,Pointsbet,Carlton,2860314,114104349,113
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Ben Ainsworth,Carlton,3.5,1.09,Pointsbet,Melbourne Demons,2860314,114104349,117
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Ben Ainsworth,Carlton,5.5,1.53,Pointsbet,Melbourne Demons,2860314,114104349,118
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Ben Ainsworth,Carlton,7.5,2.75,Pointsbet,Melbourne Demons,2860314,114104349,119
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Ben Ainsworth,Carlton,9.5,5.75,Pointsbet,Melbourne Demons,2860314,114104349,120
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Oliver Florent,Carlton,3.5,1.08,Pointsbet,Melbourne Demons,2860314,114104349,127
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Oliver Florent,Carlton,5.5,1.4,Pointsbet,Melbourne Demons,2860314,114104349,128
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Oliver Florent,Carlton,7.5,2.35,Pointsbet,Melbourne Demons,2860314,114104349,129
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Oliver Florent,Carlton,9.5,5,Pointsbet,Melbourne Demons,2860314,114104349,130
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Harry McKay,Carlton,3.5,1.13,Pointsbet,Melbourne Demons,2860314,114104349,132
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Harry McKay,Carlton,5.5,1.69,Pointsbet,Melbourne Demons,2860314,114104349,133
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Harry McKay,Carlton,7.5,3.3,Pointsbet,Melbourne Demons,2860314,114104349,134
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Harry McKay,Carlton,9.5,8,Pointsbet,Melbourne Demons,2860314,114104349,135
