match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,under_price,prop_id,under_prop_id,agency
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Sam Taylor,GWS Giants,Essendon Bombers,5.5,1.28,NA,14026,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Max Gruzewski,GWS Giants,Essendon Bombers,5.5,1.33,NA,18530,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Jacob Farrow,Essendon Bombers,GWS Giants,5.5,1.45,NA,14028,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Mason Redman,Essendon Bombers,GWS Giants,5.5,1.52,NA,14036,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Zach Reid,Essendon Bombers,GWS Giants,5.5,1.55,NA,14042,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Aaron Cadman,GWS Giants,Essendon Bombers,5.5,1.55,NA,14146,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Archie Roberts,Essendon Bombers,GWS Giants,5.5,1.68,NA,14194,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Kyle Langford,Essendon Bombers,GWS Giants,5.5,1.72,NA,18528,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Jaxon Prior,Essendon Bombers,GWS Giants,5.5,1.75,NA,14029,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Xavier Duursma,Essendon Bombers,GWS Giants,5.5,1.8,NA,14038,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Toby Greene,GWS Giants,Essendon Bombers,5.5,1.8,NA,14192,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Angus Clarke,Essendon Bombers,GWS Giants,5.5,1.85,NA,14193,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Jaxon Artemis,Essendon Bombers,GWS Giants,5.5,1.95,NA,18531,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Zach Merrett,Essendon Bombers,GWS Giants,5.5,2,NA,14039,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Harry Rowston,GWS Giants,Essendon Bombers,5.5,2.15,NA,14154,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Nate Caddy,Essendon Bombers,GWS Giants,5.5,2.2,NA,14037,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Jake Stringer,GWS Giants,Essendon Bombers,5.5,2.25,NA,14157,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Peter Wright,Essendon Bombers,GWS Giants,5.5,2.25,NA,14061,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Andrew McGrath,Essendon Bombers,GWS Giants,5.5,2.4,NA,14043,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Dyson Sharp,Essendon Bombers,GWS Giants,5.5,2.4,NA,14051,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Callum M. Brown,NA,NA,5.5,2.5,NA,14147,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Sam Durham,Essendon Bombers,GWS Giants,5.5,2.8,NA,14064,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Conor Stone,GWS Giants,Essendon Bombers,5.5,2.8,NA,14150,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Finn Callaghan,GWS Giants,Essendon Bombers,5.5,3,NA,14151,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Ryan Angwin,GWS Giants,Essendon Bombers,5.5,3.2,NA,14164,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Jye Caldwell,Essendon Bombers,GWS Giants,5.5,3.5,NA,14054,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Lachie Ash,GWS Giants,Essendon Bombers,7.5,1.26,NA,25773,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Lachie Whitfield,GWS Giants,Essendon Bombers,7.5,1.5,NA,25774,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Connor Idun,GWS Giants,Essendon Bombers,7.5,1.6,NA,25761,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Joe Fonti,GWS Giants,Essendon Bombers,7.5,1.68,NA,25770,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Jayden Laverde,GWS Giants,Essendon Bombers,7.5,1.75,NA,25595,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Harry Himmelberg,GWS Giants,Essendon Bombers,7.5,1.8,NA,25765,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Jordan Ridley,Essendon Bombers,GWS Giants,7.5,1.8,NA,25737,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Sam Taylor,GWS Giants,Essendon Bombers,7.5,2.1,NA,25733,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Max Gruzewski,GWS Giants,Essendon Bombers,7.5,2.25,NA,25789,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Jacob Farrow,Essendon Bombers,GWS Giants,7.5,2.6,NA,25735,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Mason Redman,Essendon Bombers,GWS Giants,7.5,2.8,NA,25738,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Zach Reid,Essendon Bombers,GWS Giants,7.5,2.9,NA,25742,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Aaron Cadman,GWS Giants,Essendon Bombers,7.5,2.9,NA,25758,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Archie Roberts,Essendon Bombers,GWS Giants,7.5,3.3,NA,25780,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Kyle Langford,Essendon Bombers,GWS Giants,7.5,3.5,NA,25787,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Jaxon Prior,Essendon Bombers,GWS Giants,7.5,3.6,NA,25736,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Xavier Duursma,Essendon Bombers,GWS Giants,7.5,3.75,NA,25740,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Toby Greene,GWS Giants,Essendon Bombers,7.5,3.75,NA,25778,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Angus Clarke,Essendon Bombers,GWS Giants,7.5,4,NA,25779,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Jaxon Artemis,Essendon Bombers,GWS Giants,7.5,4.25,NA,25790,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Zach Merrett,Essendon Bombers,GWS Giants,7.5,4.5,NA,25741,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Harry Rowston,GWS Giants,Essendon Bombers,7.5,5,NA,25766,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Nate Caddy,Essendon Bombers,GWS Giants,7.5,5.5,NA,25739,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Peter Wright,Essendon Bombers,GWS Giants,7.5,5.5,NA,25753,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Jake Stringer,GWS Giants,Essendon Bombers,7.5,5.5,NA,25769,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Dyson Sharp,Essendon Bombers,GWS Giants,7.5,6,NA,25748,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Andrew McGrath,Essendon Bombers,GWS Giants,7.5,6,NA,25743,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Callum M. Brown,NA,NA,7.5,6.5,NA,25759,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Conor Stone,GWS Giants,Essendon Bombers,7.5,7.5,NA,25762,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Sam Durham,Essendon Bombers,GWS Giants,7.5,7.5,NA,25755,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Finn Callaghan,GWS Giants,Essendon Bombers,7.5,8.5,NA,25763,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Ryan Angwin,GWS Giants,Essendon Bombers,7.5,9.5,NA,25776,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Jye Caldwell,Essendon Bombers,GWS Giants,7.5,11,NA,25750,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Lachie Ash,GWS Giants,Essendon Bombers,9.5,1.87,NA,25893,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Lachie Whitfield,GWS Giants,Essendon Bombers,9.5,2.4,NA,25894,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Connor Idun,GWS Giants,Essendon Bombers,9.5,2.7,NA,25881,NA,TAB
Essendon Bombers v GWS Giants,Essendon Bombers,GWS Giants,Player Marks,Joe Fonti,GWS Giants,Essendon Bombers,9.5,2.9,NA,25890,NA,TAB
