match,start_time,market_name,home_team,home_win,away_team,away_win,margin,agency
GWS Giants v Collingwood Magpies,2025-03-09T04:20:00Z,Head To Head,GWS Giants,2.2,Collingwood Magpies,1.67,1.053,Pointsbet
Richmond Tigers v Carlton,2025-03-13T08:30:00Z,Head To Head,Richmond Tigers,10,Carlton,1.05,1.052,Pointsbet
Hawthorn Hawks v Essendon Bombers,2025-03-14T08:40:00Z,Head To Head,Hawthorn Hawks,1.4,Essendon Bombers,3,1.048,Pointsbet
Geelong Cats v Fremantle Dockers,2025-03-15T02:20:00Z,Head To Head,Geelong Cats,1.55,Fremantle Dockers,2.45,1.053,Pointsbet
Sydney Swans v Brisbane Lions,2025-03-15T05:15:00Z,Head To Head,Sydney Swans,1.9,Brisbane Lions,1.9,1.053,Pointsbet
Western Bulldogs v North Melbourne Kangaroos,2025-03-15T08:35:00Z,Head To Head,Western Bulldogs,1.4,North Melbourne Kangaroos,2.95,1.053,Pointsbet
Collingwood Magpies v Port Adelaide Power,2025-03-15T08:35:00Z,Head To Head,Collingwood Magpies,1.5,Port Adelaide Power,2.6,1.051,Pointsbet
Adelaide Crows v St Kilda Saints,2025-03-16T01:35:00Z,Head To Head,Adelaide Crows,1.38,St Kilda Saints,3.05,1.053,Pointsbet
Melbourne Demons v GWS Giants,2025-03-16T04:20:00Z,Head To Head,Melbourne Demons,2.1,GWS Giants,1.75,1.048,Pointsbet
West Coast Eagles v Gold Coast Suns,2025-03-16T07:10:00Z,Head To Head,West Coast Eagles,2.6,Gold Coast Suns,1.5,1.051,Pointsbet
