match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,opposition_team,group_by_header,event_id,outcome_name,outcome_id,fixed_market_id
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Colby McKercher,North Melbourne Kangaroos,79.5,1.2,BetRight,Sydney Swans,Fantasy Points - Colby McKercher,47667703,80+ Fantasy Points,1,267813920
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Colby McKercher,North Melbourne Kangaroos,89.5,1.4,BetRight,Sydney Swans,Fantasy Points - Colby McKercher,47667703,90+ Fantasy Points,2,267813921
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Colby McKercher,North Melbourne Kangaroos,99.5,1.8,BetRight,Sydney Swans,Fantasy Points - Colby McKercher,47667703,100+ Fantasy Points,3,267813922
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Colby McKercher,North Melbourne Kangaroos,109.5,2.35,BetRight,Sydney Swans,Fantasy Points - Colby McKercher,47667703,110+ Fantasy Points,4,267813923
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Colby McKercher,North Melbourne Kangaroos,119.5,4,BetRight,Sydney Swans,Fantasy Points - Colby McKercher,47667703,120+ Fantasy Points,5,267813924
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Tom Powell,North Melbourne Kangaroos,79.5,1.2,BetRight,Sydney Swans,Fantasy Points - Tom Powell,47667704,80+ Fantasy Points,1,267813925
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Tom Powell,North Melbourne Kangaroos,89.5,1.4,BetRight,Sydney Swans,Fantasy Points - Tom Powell,47667704,90+ Fantasy Points,2,267813926
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Tom Powell,North Melbourne Kangaroos,99.5,1.8,BetRight,Sydney Swans,Fantasy Points - Tom Powell,47667704,100+ Fantasy Points,3,267813927
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Tom Powell,North Melbourne Kangaroos,109.5,2.35,BetRight,Sydney Swans,Fantasy Points - Tom Powell,47667704,110+ Fantasy Points,4,267813928
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Tom Powell,North Melbourne Kangaroos,119.5,4,BetRight,Sydney Swans,Fantasy Points - Tom Powell,47667704,120+ Fantasy Points,5,267813929
