match,market_name,home_team,home_win,away_team,away_win,margin,agency
North Melbourne Kangaroos v Western Bulldogs,Head To Head,North Melbourne Kangaroos,6.5,Western Bulldogs,1.1,1.063,Sportsbet
Sydney Swans v Fremantle Dockers,Head To Head,Sydney Swans,1.2,Fremantle Dockers,4.35,1.063,Sportsbet
Gold Coast Suns v Collingwood Magpies,Head To Head,Gold Coast Suns,2.05,Collingwood Magpies,1.76,1.056,Sportsbet
Geelong Cats v Essendon Bombers,Head To Head,Geelong Cats,2.08,Essendon Bombers,1.75,1.052,Sportsbet
Adelaide Crows v GWS Giants,Head To Head,Adelaide Crows,2.03,GWS Giants,1.78,1.054,Sportsbet
St Kilda Saints v Port Adelaide Power,Head To Head,St Kilda Saints,1.78,Port Adelaide Power,2.03,1.054,Sportsbet
Richmond Tigers v Carlton,Head To Head,Richmond Tigers,6.5,Carlton,1.1,1.063,Sportsbet
West Coast Eagles v Hawthorn Hawks,Head To Head,West Coast Eagles,2.46,Hawthorn Hawks,1.53,1.06,Sportsbet
Collingwood Magpies v Essendon Bombers,Head To Head,Collingwood Magpies,1.65,Essendon Bombers,2.25,1.051,Sportsbet
North Melbourne Kangaroos v Gold Coast Suns,Head To Head,North Melbourne Kangaroos,3.09,Gold Coast Suns,1.38,1.048,Sportsbet
Port Adelaide Power v Western Bulldogs,Head To Head,Port Adelaide Power,2.04,Western Bulldogs,1.81,1.043,Sportsbet
Geelong Cats v Hawthorn Hawks,Head To Head,Geelong Cats,1.56,Hawthorn Hawks,2.44,1.051,Sportsbet
GWS Giants v Carlton,Head To Head,GWS Giants,1.86,Carlton,1.98,1.043,Sportsbet
Fremantle Dockers v Richmond Tigers,Head To Head,Fremantle Dockers,1.13,Richmond Tigers,6.05,1.05,Sportsbet
Melbourne Demons v West Coast Eagles,Head To Head,Melbourne Demons,1.19,West Coast Eagles,4.75,1.051,Sportsbet
St Kilda Saints v Sydney Swans,Head To Head,St Kilda Saints,3.44,Sydney Swans,1.32,1.048,Sportsbet
Brisbane Lions v Adelaide Crows,Head To Head,Brisbane Lions,1.18,Adelaide Crows,4.95,1.049,Sportsbet
