match,market_name,home_team,home_win,away_team,away_win,margin,agency
North Melbourne Kangaroos v Gold Coast Suns,Head To Head,North Melbourne Kangaroos,3.7,Gold Coast Suns,1.28,1.052,Betr
Port Adelaide Power v Western Bulldogs,Head To Head,Port Adelaide Power,1.95,Western Bulldogs,1.84,1.056,Betr
Geelong Cats v Hawthorn Hawks,Head To Head,Geelong Cats,1.55,Hawthorn Hawks,2.45,1.053,Betr
GWS Giants v Carlton,Head To Head,GWS Giants,2.35,Carlton,1.6,1.051,Betr
Fremantle Dockers v Richmond Tigers,Head To Head,Fremantle Dockers,1.06,Richmond Tigers,8.8,1.057,Betr
Melbourne Demons v West Coast Eagles,Head To Head,Melbourne Demons,1.15,West Coast Eagles,5.5,1.051,Betr
St Kilda Saints v Sydney Swans,Head To Head,St Kilda Saints,4.15,Sydney Swans,1.23,1.054,Betr
Brisbane Lions v Adelaide Crows,Head To Head,Brisbane Lions,1.22,Adelaide Crows,4.25,1.055,Betr
