match,start_time,market_name,home_team,home_win,away_team,away_win,margin,agency
Port Adelaide Power v Geelong Cats,2024-09-05T19:40:00Z,Head To Head,Port Adelaide Power,1.48,Geelong Cats,2.65,1.053,TopSport
Western Bulldogs v Hawthorn Hawks,2024-09-06T19:40:00Z,Head To Head,Western Bulldogs,1.72,Hawthorn Hawks,2.12,1.053,TopSport
Sydney Swans v GWS Giants,2024-09-07T15:20:00Z,Head To Head,Sydney Swans,1.63,GWS Giants,2.28,1.052,TopSport
Brisbane Lions v Carlton,2024-09-07T19:40:00Z,Head To Head,Brisbane Lions,1.28,Carlton,3.7,1.052,TopSport
