match,market_name,home_team,home_win,home_line,away_team,away_win,away_line,margin,agency
Brisbane Lions v Collingwood Magpies,Line,Brisbane Lions,1.9,-16.5,Collingwood Magpies,1.9,16.5,1.053,Betr
<<<<<<< HEAD
North Melbourne Kangaroos v Carlton,Line,North Melbourne Kangaroos,1.9,34.5,Carlton,1.9,-34.5,1.053,Betr
Fremantle Dockers v Adelaide Crows,Line,Fremantle Dockers,1.9,-10.5,Adelaide Crows,1.9,10.5,1.053,Betr
Essendon Bombers v St Kilda Saints,Line,Essendon Bombers,1.9,8.5,St Kilda Saints,1.9,-8.5,1.053,Betr
Port Adelaide Power v Melbourne Demons,Line,Port Adelaide Power,1.9,-13.5,Melbourne Demons,1.9,13.5,1.053,Betr
Western Bulldogs v West Coast Eagles,Line,Western Bulldogs,1.9,-49.5,West Coast Eagles,1.9,49.5,1.053,Betr
Richmond Tigers v Sydney Swans,Line,Richmond Tigers,1.9,21.5,Sydney Swans,1.9,-21.5,1.053,Betr
Hawthorn Hawks v Geelong Cats,Line,Hawthorn Hawks,1.9,19.5,Geelong Cats,1.9,-19.5,1.053,Betr
=======
North Melbourne Kangaroos v Carlton,Line,North Melbourne Kangaroos,1.9,36.5,Carlton,1.9,-36.5,1.053,Betr
Fremantle Dockers v Adelaide Crows,Line,Fremantle Dockers,1.9,-13.5,Adelaide Crows,1.9,13.5,1.053,Betr
Essendon Bombers v St Kilda Saints,Line,Essendon Bombers,1.9,8.5,St Kilda Saints,1.9,-8.5,1.053,Betr
Port Adelaide Power v Melbourne Demons,Line,Port Adelaide Power,1.9,-14.5,Melbourne Demons,1.9,14.5,1.053,Betr
Western Bulldogs v West Coast Eagles,Line,Western Bulldogs,1.9,-46.5,West Coast Eagles,1.9,46.5,1.053,Betr
Richmond Tigers v Sydney Swans,Line,Richmond Tigers,1.9,23.5,Sydney Swans,1.9,-23.5,1.053,Betr
Hawthorn Hawks v Geelong Cats,Line,Hawthorn Hawks,1.9,20.5,Geelong Cats,1.9,-20.5,1.053,Betr
>>>>>>> 19aca9f28329261b351c1e8e4bfe5faf51828b05
