match,market_name,home_team,away_team,line,over_price,under_price,agency,margin
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,192.5,3.8,1.14,Sportsbet,1.14
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,193.5,4,1.13,Sportsbet,1.135
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,194.5,4.2,1.12,Sportsbet,1.131
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,195.5,4.3,1.11,Sportsbet,1.133
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,196.5,4.6,1.09,Sportsbet,1.135
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,197.5,4.8,1.08,Sportsbet,1.134
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,198.5,5,1.08,Sportsbet,1.126
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,199.5,5.3,1.07,Sportsbet,1.123
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,200.5,5.5,1.06,Sportsbet,1.125
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,201.5,5.8,NA,Sportsbet,NA
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,202.5,6,NA,Sportsbet,NA
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,203.5,6.25,NA,Sportsbet,NA
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,204.5,6.75,NA,Sportsbet,NA
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,205.5,7,NA,Sportsbet,NA
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,206.5,7.5,NA,Sportsbet,NA
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,207.5,8,NA,Sportsbet,NA
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,208.5,8.25,NA,Sportsbet,NA
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,209.5,8.75,NA,Sportsbet,NA
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,210.5,9.25,NA,Sportsbet,NA
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,211.5,10,NA,Sportsbet,NA
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,212.5,10.5,NA,Sportsbet,NA
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,213.5,11,NA,Sportsbet,NA
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,214.5,12,NA,Sportsbet,NA
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,215.5,12.5,NA,Sportsbet,NA
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,216.5,13,NA,Sportsbet,NA
Brisbane Lions v Essendon Bombers,Total Points,Brisbane Lions,Essendon Bombers,217.5,14,NA,Sportsbet,NA
