match,market_name,home_team,home_line,home_win,away_team,away_line,away_win,margin,agency
Collingwood Magpies v Brisbane Lions,Line,Collingwood Magpies,10.5,1.9,Brisbane Lions,-10.5,1.9,1.053,Sportsbet
Port Adelaide Power v Adelaide Crows,Line,Port Adelaide Power,-13.5,1.9,Adelaide Crows,13.5,1.9,1.053,Sportsbet
St Kilda Saints v Geelong Cats,Line,St Kilda Saints,9.5,1.9,Geelong Cats,-9.5,1.9,1.053,Sportsbet
Western Bulldogs v North Melbourne Kangaroos,Line,Western Bulldogs,-45.5,1.9,North Melbourne Kangaroos,45.5,1.9,1.053,Sportsbet
Hawthorn Hawks v Richmond Tigers,Line,Hawthorn Hawks,-45.5,1.9,Richmond Tigers,45.5,1.9,1.053,Sportsbet
West Coast Eagles v Carlton,Line,West Coast Eagles,-2.5,1.9,Carlton,2.5,1.9,1.053,Sportsbet
Geelong Cats v West Coast Eagles,Line,Geelong Cats,-40.5,1.9,West Coast Eagles,40.5,1.9,1.053,Sportsbet
Hawthorn Hawks v North Melbourne Kangaroos,Line,Hawthorn Hawks,-39.5,1.9,North Melbourne Kangaroos,39.5,1.9,1.053,Sportsbet
Brisbane Lions v Essendon Bombers,Line,Brisbane Lions,-33.5,1.9,Essendon Bombers,33.5,1.9,1.053,Sportsbet
Sydney Swans v Adelaide Crows,Line,Sydney Swans,-19.5,1.9,Adelaide Crows,19.5,1.9,1.053,Sportsbet
Carlton v St Kilda Saints,Line,Carlton,-1.5,1.9,St Kilda Saints,1.5,1.9,1.053,Sportsbet
