match,market_name,home_team,home_line,home_win,away_team,away_line,away_win,margin,agency
Fremantle Dockers v Geelong Cats,Line,Fremantle Dockers,-10.5,1.9,Geelong Cats,10.5,1.9,1.053,Sportsbet
Brisbane Lions v Adelaide Crows,Line,Brisbane Lions,-21.5,1.91,Adelaide Crows,21.5,1.89,1.053,Sportsbet
