match,start_time,market_name,home_team,home_line,home_win,away_team,away_line,away_win,margin,agency
Collingwood Magpies v Brisbane Lions,2026-08-21T09:40:00Z,Line,Collingwood Magpies,22.5,1.9,Brisbane Lions,-22.5,1.9,1.053,Pointsbet
Carlton v Fremantle Dockers,2026-08-22T03:15:00Z,Line,Carlton,7.5,1.9,Fremantle Dockers,-7.5,1.9,1.053,Pointsbet
Melbourne Demons v Western Bulldogs,2026-08-22T06:15:00Z,Line,Melbourne Demons,-15.5,1.9,Western Bulldogs,15.5,1.9,1.053,Pointsbet
Geelong Cats v Richmond Tigers,2026-08-22T09:45:00Z,Line,Geelong Cats,-76.5,1.9,Richmond Tigers,76.5,1.9,1.053,Pointsbet
Adelaide Crows v GWS Giants,2026-08-22T10:10:00Z,Line,Adelaide Crows,-25.5,1.9,GWS Giants,25.5,1.9,1.053,Pointsbet
Essendon Bombers v Port Adelaide Power,2026-08-23T02:20:00Z,Line,Essendon Bombers,4.5,1.9,Port Adelaide Power,-4.5,1.9,1.053,Pointsbet
Sydney Swans v North Melbourne Kangaroos,2026-08-23T05:20:00Z,Line,Sydney Swans,1.5,1.9,North Melbourne Kangaroos,-1.5,1.9,1.053,Pointsbet
West Coast Eagles v Hawthorn Hawks,2026-08-23T09:20:00Z,Line,West Coast Eagles,47.5,1.9,Hawthorn Hawks,-47.5,1.9,1.053,Pointsbet
