player_full_name,position,position_source
Brennan Cox,KEY_DEFENDER,fitzroy_player_details
Brent Daniels,MIDFIELDER_FORWARD,fitzroy_player_details
Brodie Grundy,RUCK,fitzroy_player_details
Brodie Kemp,KEY_FORWARD,fitzroy_player_details
Brody Mihocek,KEY_FORWARD,fitzroy_player_details
Bruce Reville,MIDFIELDER,fitzroy_player_details
Buku Khamis,KEY_DEFENDER,fitzroy_player_details
Caiden Cleary,MEDIUM_FORWARD,fitzroy_player_details
Caleb Daniel,MEDIUM_DEFENDER,fitzroy_player_details
Caleb Graham,KEY_DEFENDER,fitzroy_player_details
Caleb Lewis,KEY_FORWARD,fitzroy_player_details
Caleb May,RUCK,fitzroy_player_details
Caleb Serong,MIDFIELDER,fitzroy_player_details
Caleb Windsor,MIDFIELDER,fitzroy_player_details
Callum Ah Chee,MEDIUM_FORWARD,fitzroy_player_details
Callum Brown,MEDIUM_FORWARD,fitzroy_player_details
Callum Coleman-Jones,RUCK,fitzroy_player_details
Callum Mills,MEDIUM_DEFENDER,fitzroy_player_details
Callum Wilkie,KEY_DEFENDER,fitzroy_player_details
Calsher Dear,KEY_FORWARD,fitzroy_player_details
Cam Mackenzie,MIDFIELDER,fitzroy_player_details
Cam Rayner,MEDIUM_FORWARD,fitzroy_player_details
Cameron Nairn,MIDFIELDER_FORWARD,fitzroy_player_details
Cameron Zurhaar,MEDIUM_DEFENDER,fitzroy_player_details
Campbell Chesser,MIDFIELDER,fitzroy_player_details
Campbell Gray,KEY_DEFENDER,fitzroy_player_details
Campbell Lake,MEDIUM_FORWARD,fitzroy_player_details
Chad Warner,MIDFIELDER,fitzroy_player_details
Changkuoth Jiath,MEDIUM_DEFENDER,fitzroy_player_details
Charlie Ballard,KEY_DEFENDER,fitzroy_player_details
Charlie Banfield,MIDFIELDER,fitzroy_player_details
Charlie Cameron,MEDIUM_FORWARD,fitzroy_player_details
Charlie Comben,KEY_DEFENDER,fitzroy_player_details
Charlie Curnow,KEY_FORWARD,fitzroy_player_details
Charlie Edwards,MIDFIELDER,fitzroy_player_details
Charlie Nicholls,KEY_FORWARD,fitzroy_player_details
Charlie Spargo,MEDIUM_FORWARD,fitzroy_player_details
Charlie West,KEY_FORWARD,fitzroy_player_details
Chayce Jones,MEDIUM_DEFENDER,fitzroy_player_details
Christian Moraes,MEDIUM_FORWARD,fitzroy_player_details
Christian Petracca,MIDFIELDER_FORWARD,fitzroy_player_details
Christian Salem,MEDIUM_DEFENDER,fitzroy_player_details
Christopher Scerri,MEDIUM_FORWARD,fitzroy_player_details
Cillian Bourke,MEDIUM_DEFENDER,fitzroy_player_details
Cillian Burke,MEDIUM_DEFENDER,fitzroy_player_details
