player_full_name,position
Kamdyn McIntosh,MIDFIELDER
Nick Vlastuin,MEDIUM_DEFENDER
Nathan Broad,MEDIUM_DEFENDER
Toby Nankervis,RUCK
Jayden Short,MEDIUM_DEFENDER
Jacob Hopper,MIDFIELDER
Tim Taranto,MIDFIELDER
Bayley Fritsch,MEDIUM_FORWARD
Charlie Spargo,MEDIUM_FORWARD
Kade Chandler,MIDFIELDER_FORWARD
Harry Sharp,MEDIUM_FORWARD
Jack Henderson,MEDIUM_FORWARD
Kysaiah Pickett,MIDFIELDER_FORWARD
Harrison Petty,KEY_DEFENDER
Trent Rivers,MEDIUM_DEFENDER
Jake Bowey,MEDIUM_DEFENDER
Bailey Laurie,MIDFIELDER
Andy Moniz-Wakefield,MEDIUM_DEFENDER
Tom Fullarton,KEY_FORWARD
Will Verrall,RUCK
Blake Howes,MEDIUM_DEFENDER
Judd McVee,MEDIUM_DEFENDER
Jacob van Rooyen,KEY_FORWARD
Taj Woewodin,MIDFIELDER
Jai Culley,MIDFIELDER
Daniel Turner,KEY_DEFENDER
Jed Adams,KEY_DEFENDER
Matthew Jefferson,KEY_FORWARD
Koltyn Tholstrup,MEDIUM_FORWARD
Aidan Johnson,KEY_FORWARD
Luker Kentfield,KEY_DEFENDER
Caleb Windsor,MEDIUM_DEFENDER
Kynan Brown,MIDFIELDER
Xavier Lindsay,MIDFIELDER
Harvey Langford,MIDFIELDER
Ricky Mentha,MEDIUM_FORWARD
Oliver Sestan,MEDIUM_DEFENDER
Jake Melksham,KEY_FORWARD
Steven May,KEY_DEFENDER
Tom Campbell,RUCK
Max Gawn,RUCK
Tom McDonald,KEY_DEFENDER
Jack Viney,MIDFIELDER
Jack Billings,MIDFIELDER
Christian Salem,MEDIUM_DEFENDER
Christian Petracca,MIDFIELDER
Ed Langdon,MIDFIELDER
Jake Lever,MEDIUM_DEFENDER
Shane McAdam,MEDIUM_FORWARD
Marty Hore,MEDIUM_DEFENDER
Clayton Oliver,MIDFIELDER
Tom Sparrow,MEDIUM_FORWARD
Liam Baker,MEDIUM_DEFENDER
Liam Ryan,MEDIUM_FORWARD
Oscar Allen,KEY_FORWARD
Bailey J. Williams,RUCK
Jack Petruccelle,MEDIUM_FORWARD
Callum Jamieson,KEY_DEFENDER
Harry Edwards,KEY_DEFENDER
Sandy Brock,KEY_DEFENDER
Tyler Brockman,MEDIUM_FORWARD
Matthew Owies,MEDIUM_FORWARD
Campbell Chesser,MIDFIELDER
Rhett Bazzo,KEY_DEFENDER
Lucca Grego,MIDFIELDER
Loch Rawlinson,MEDIUM_FORWARD
Harry Barnett,KEY_DEFENDER
Jack Williams,KEY_FORWARD
Elijah Hewett,MIDFIELDER
Jacob Newton,MEDIUM_FORWARD
Reuben Ginbey,MEDIUM_DEFENDER
Tyrell Dewar,MIDFIELDER
Brady Hough,MEDIUM_DEFENDER
Harley Reid,MIDFIELDER
Noah Long,MEDIUM_FORWARD
Clay Hall,MIDFIELDER
Archer Reid,KEY_FORWARD
Harvey Johnston,MEDIUM_DEFENDER
Coen Livingstone,RUCK
Bo Allan,MEDIUM_DEFENDER
Tom Gross,MIDFIELDER_FORWARD
Malakai Champion,MEDIUM_FORWARD
Ryan Maric,MEDIUM_DEFENDER
Jobe Shanahan,KEY_FORWARD
Hamish Davis,MIDFIELDER_FORWARD
Jack Hutchinson,MIDFIELDER
Tom McCarthy,MIDFIELDER
Jamie Cripps,MEDIUM_FORWARD
Elliot Yeo,MIDFIELDER
Jeremy McGovern,KEY_DEFENDER
Tim Kelly,MIDFIELDER
Dom Sheed,MIDFIELDER
Liam Duggan,MEDIUM_DEFENDER
Jack Graham,MIDFIELDER_FORWARD
Tom Cole,MEDIUM_DEFENDER
Matt Flynn,RUCK
Jayden Hunt,MIDFIELDER
Jake Waterman,KEY_FORWARD
