player_full_name,position
James Tunstill,MIDFIELDER
Will Ashcroft,MIDFIELDER
Jaspa Fletcher,MEDIUM_DEFENDER
Reece Torrent,MIDFIELDER
Darcy Craven,MEDIUM_FORWARD
Luke Lloyd,KEY_DEFENDER
Logan Morris,KEY_FORWARD
Shadeau Brain,MEDIUM_DEFENDER
Sam Marshall,MIDFIELDER
Levi Ashcroft,MIDFIELDER_FORWARD
Will McLachlan,MEDIUM_FORWARD
Zane Zakostelsky,RUCK
Ty Gallop,KEY_FORWARD
Dayne Zorko,MEDIUM_DEFENDER
Ryan Lester,MEDIUM_DEFENDER
Sam Day,KEY_FORWARD
Lachie Neale,MIDFIELDER
Lincoln McCarthy,MEDIUM_FORWARD
Darcy Gardiner,KEY_FORWARD
Darcy Fort,RUCK
Callum Ah Chee,MEDIUM_FORWARD
Charlie Cameron,MEDIUM_FORWARD
Josh Dunkley,MIDFIELDER
Eric Hipwood,KEY_FORWARD
Harris Andrews,KEY_DEFENDER
Conor McKenna,MEDIUM_FORWARD
Jarrod Berry,MIDFIELDER
Lachie Schultz,MEDIUM_FORWARD
Patrick Lipinski,MIDFIELDER
Beau McCreery,MEDIUM_FORWARD
Josh Daicos,MEDIUM_DEFENDER
Bobby Hill,MEDIUM_FORWARD
Isaac Quaynor,MEDIUM_DEFENDER
Charlie Dean,KEY_DEFENDER
Finlay Macrae,MIDFIELDER
Wil Parker,MEDIUM_DEFENDER
Reef McInnes,KEY_DEFENDER
Harvey Harrison,MEDIUM_FORWARD
Ned Long,MIDFIELDER
Jakob Ryan,MEDIUM_DEFENDER
Noah Howes,KEY_FORWARD
Oscar Steene,RUCK
Edward Allan,MIDFIELDER
Nick Daicos,MIDFIELDER
Charlie West,KEY_FORWARD
Roan Steele,MIDFIELDER
Harry DeMattia,MIDFIELDER
Iliro Smit,RUCK
Joel Cochran,MEDIUM_DEFENDER
Tew Jiath,MEDIUM_DEFENDER
William Hayes,MEDIUM_FORWARD
Scott Pendlebury,MIDFIELDER
